distance_cm,-10,-5,0,5,10
25,0.5366666666666666,0.14,0.63,0.33,0.5466666666666666
50,0.69,0.68,0.17666666666666667,0.51,0.7033333333333334
75,0.7066666666666667,0.54,0.30666666666666664,0.6633333333333333,0.3233333333333333
100,0.34,0.43333333333333335,0.32666666666666666,0.7333333333333333,0.6166666666666667
125,0.2833333333333333,0.25333333333333335,0.43,0.44,0.37333333333333335
