distance_cm,-10,-5,0,5,10
25,0.26666666666666666,0.6966666666666667,0.056666666666666664,0.72,0.6666666666666666
50,1.0,0.41333333333333333,0.66,0.7166666666666667,0.8566666666666667
75,0.6533333333333333,0.6166666666666667,0.69,0.8666666666666667,0.37333333333333335
100,0.68,0.8766666666666667,0.16,0.52,0.5366666666666666
125,0.4533333333333333,0.46,0.37,0.52,0.36
