distance_cm,-10,-5,0,5,10
25,0.69,0.6666666666666666,0.3333333333333333,0.6366666666666667,0.5033333333333333
50,1.0,0.3333333333333333,0.71,0.6233333333333333,0.7766666666666666
75,0.63,0.79,0.6666666666666666,0.8933333333333333,0.55
100,0.6666666666666666,0.75,0.31333333333333335,0.9066666666666666,0.5933333333333334
125,0.95,0.68,0.37333333333333335,0.6433333333333333,0.51
