physical_level,coeff_index,threshold_base,threshold_scale,threshold_final,before_mean,before_std,before_energy,before_max_abs,before_nonzero_ratio,after_mean,after_std,after_energy,after_max_abs,after_nonzero_ratio
1,6,893.4638936199126,1.0,893.4638936199126,1.729896272005276e-14,0.0873253593410454,137.62896539520278,8.934638936189126,0.8649711879432624,0.0,0.0,0.0,0.0,0.0
2,5,765.980964252911,1.0,765.980964252911,1.7306991731843298e-14,0.10891200727465158,214.08222353046017,7.65980964251911,0.8661901595744681,0.0,0.0,0.0,0.0,0.0
3,4,1072.1015665722996,1.0,1072.1015665722996,1.7320552621196974e-14,0.804366810988198,11677.163685545547,10.721015665712995,0.8686281028368794,0.0,0.0,0.0,0.0,0.0
4,3,0.6406975708360927,0.8,0.5125580566688742,1.7340295865864164e-14,13.378875347815121,3230489.2269702265,158.77094927159504,0.8735039893617021,-0.0034509608933360404,13.367706814340462,3225098.1415737187,158.76929458751925,0.5790669326241135
5,2,0.18340080867142022,0.5,0.09170040433571011,1.738640752251637e-14,45.72403072551852,37732718.71950473,531.8272164826019,0.8832557624113475,-8.999332382566171e-05,45.723874829437214,37732461.420683004,531.827200671143,0.8521719858156028
6,1,0.487452408441732,0.8,0.3899619267533856,1.7304518732047563e-14,17.410923451167246,5471075.329863574,178.28790255561017,0.9027593085106383,0.0002202342946029182,17.404993068713377,5467348.929489331,178.28704960764153,0.6986923758865248
