category,file,distance_cm,angle_deg,meas_idx,mic,band_center_hz,best_wavelet,best_kappa_decomposition_level,min_kappa_target,min_kappa_satisfied,best_effective_level,best_mu_sc,bp_cfg_id,bp_method,iir_order,bw_hz,preprocess_mode,top1_wavelet,top1_mu_sc,top2_wavelet,top2_mu_sc,top3_wavelet,top3_mu_sc,top4_wavelet,top4_mu_sc,top5_wavelet,top5_mu_sc
Box,100cm_-10Grad.pickle,100.0,-10.0,0,Mic1,,sym2,6,4,True,12,0.042594117850191876,iir_o6_bp25_75k,iir,6,25000.0,bp25_75,dmey,0.0656443364030592,sym2,0.042594117850191876,db2,0.04259411785016421,bior2.2,0.04231838674795317,coif1,0.040281315022044566
Box,100cm_-10Grad.pickle,100.0,-10.0,1,Mic1,,sym2,6,4,True,12,0.04277694867471127,iir_o6_bp25_75k,iir,6,25000.0,bp25_75,dmey,0.06696277544917162,sym2,0.04277694867471127,db2,0.0427769486746835,bior2.2,0.04233484469409426,coif1,0.040233775910178175
Box,100cm_-10Grad.pickle,100.0,-10.0,2,Mic1,,bior2.2,6,4,True,11,0.04261434316571082,iir_o6_bp25_75k,iir,6,25000.0,bp25_75,dmey,0.06528342172494625,bior2.2,0.04261434316571082,sym2,0.0425098029257947,db2,0.042509802925767455,coif1,0.04050940184442228
Box,100cm_-10Grad.pickle,100.0,-10.0,3,Mic1,,bior2.2,6,4,True,11,0.042737532024508536,iir_o6_bp25_75k,iir,6,25000.0,bp25_75,dmey,0.06649111478172345,bior2.2,0.042737532024508536,sym2,0.04258611399568628,db2,0.04258611399565888,coif1,0.040608088972322855
Box,100cm_-10Grad.pickle,100.0,-10.0,4,Mic1,,sym2,6,4,True,12,0.042808832333409555,iir_o6_bp25_75k,iir,6,25000.0,bp25_75,dmey,0.06662776928651266,sym2,0.042808832333409555,db2,0.04280883233338215,bior2.2,0.04242379067927676,coif1,0.040390063202497106
Box,100cm_-10Grad.pickle,100.0,-10.0,5,Mic1,,sym2,6,4,True,12,0.042852856081534836,iir_o6_bp25_75k,iir,6,25000.0,bp25_75,dmey,0.06530938373658135,sym2,0.042852856081534836,db2,0.042852856081507115,bior2.2,0.04239691505738562,coif1,0.04032315653892664
Box,100cm_-10Grad.pickle,100.0,-10.0,6,Mic1,,bior2.2,6,4,True,11,0.04266885149403296,iir_o6_bp25_75k,iir,6,25000.0,bp25_75,dmey,0.06679164068792637,bior2.2,0.04266885149403296,sym2,0.04253558080572709,db2,0.04253558080570018,coif1,0.040475110882032025
Box,100cm_-10Grad.pickle,100.0,-10.0,7,Mic1,,sym2,6,4,True,12,0.04274740919532222,iir_o6_bp25_75k,iir,6,25000.0,bp25_75,dmey,0.06618750235364323,sym2,0.04274740919532222,db2,0.04274740919529461,bior2.2,0.042606642682968696,coif1,0.040447823527820934
Box,100cm_-10Grad.pickle,100.0,-10.0,8,Mic1,,sym2,6,4,True,12,0.042733180329520296,iir_o6_bp25_75k,iir,6,25000.0,bp25_75,dmey,0.06626759629167671,sym2,0.042733180329520296,db2,0.04273318032949273,bior2.2,0.04238272569278636,coif1,0.040323153369681126
Box,100cm_-10Grad.pickle,100.0,-10.0,9,Mic1,,sym2,6,4,True,12,0.04267208996270883,iir_o6_bp25_75k,iir,6,25000.0,bp25_75,dmey,0.06597463364811437,sym2,0.04267208996270883,db2,0.042672089962681445,bior2.2,0.0424500136008288,coif1,0.040386043086278474
Box,100cm_-10Grad.pickle,100.0,-10.0,10,Mic1,,bior2.2,6,4,True,11,0.042991487788419734,iir_o6_bp25_75k,iir,6,25000.0,bp25_75,dmey,0.06527493234449375,bior2.2,0.042991487788419734,sym2,0.04236476880881536,db2,0.04236476880878855,coif1,0.04081622893454548
Box,100cm_-10Grad.pickle,100.0,-10.0,11,Mic1,,sym2,6,4,True,12,0.0425686533769699,iir_o6_bp25_75k,iir,6,25000.0,bp25_75,dmey,0.06565482882599652,sym2,0.0425686533769699,db2,0.04256865337694254,bior2.2,0.042492974180661315,coif1,0.04038674280794119
Box,100cm_-10Grad.pickle,100.0,-10.0,12,Mic1,,rbio2.2,7,4,True,11,0.04941013028623248,iir_o6_bp25_75k,iir,6,25000.0,bp25_75,dmey,0.06605405471811521,rbio2.2,0.04941013028623248,sym2,0.042879406653465416,db2,0.04287940665343752,bior2.2,0.04228031425441633
Box,100cm_-10Grad.pickle,100.0,-10.0,13,Mic1,,rbio2.2,7,4,True,11,0.04929970611676798,iir_o6_bp25_75k,iir,6,25000.0,bp25_75,dmey,0.06579497451115197,rbio2.2,0.04929970611676798,sym2,0.042771856382210746,db2,0.042771856382183567,bior2.2,0.04223415432828993
Box,100cm_-10Grad.pickle,100.0,-10.0,14,Mic1,,sym2,6,4,True,12,0.04265367025893442,iir_o6_bp25_75k,iir,6,25000.0,bp25_75,dmey,0.06616434178579095,sym2,0.04265367025893442,db2,0.04265367025890702,bior2.2,0.04218491205960416,coif1,0.04013383319425536
