category,file,distance_cm,angle_deg,meas_idx,mic,band_center_hz,best_wavelet,best_kappa_decomposition_level,min_kappa_target,min_kappa_satisfied,best_effective_level,best_mu_sc,bp_cfg_id,bp_method,iir_order,bw_hz,preprocess_mode,top1_wavelet,top1_mu_sc,top2_wavelet,top2_mu_sc,top3_wavelet,top3_mu_sc,top4_wavelet,top4_mu_sc,top5_wavelet,top5_mu_sc
Box,100cm_-10Grad.pickle,100.0,-10.0,17,Mic2,,db6,6,4,True,10,0.06784461154715068,iir_o6_bp25_75k,iir,6,25000.0,bp25_75,db6,0.06784461154715068,sym2,0.04813907609444363,db2,0.048139076094384586,bior2.2,0.03816015752793965,db4,0.0364011729065555
Box,100cm_-10Grad.pickle,100.0,-10.0,18,Mic2,,db6,6,4,True,10,0.0674907931907808,iir_o6_bp25_75k,iir,6,25000.0,bp25_75,db6,0.0674907931907808,sym2,0.04807703893927048,db2,0.04807703893921196,bior2.2,0.038151124229491275,db4,0.036391671328112815
Box,100cm_-10Grad.pickle,100.0,-10.0,19,Mic2,,db6,6,4,True,10,0.06739610058024052,iir_o6_bp25_75k,iir,6,25000.0,bp25_75,db6,0.06739610058024052,sym2,0.04824874249951941,db2,0.048248742499460054,bior2.2,0.03813476936869412,db4,0.03640384611835121
Box,100cm_-10Grad.pickle,100.0,-10.0,20,Mic2,,db6,6,4,True,10,0.06618442409759705,iir_o6_bp25_75k,iir,6,25000.0,bp25_75,db6,0.06618442409759705,sym2,0.0482300347615847,db2,0.048230034761525424,bior2.2,0.038132171649043076,db4,0.036359119884992165
Box,100cm_-10Grad.pickle,100.0,-10.0,21,Mic2,,db6,6,4,True,10,0.0663579514215893,iir_o6_bp25_75k,iir,6,25000.0,bp25_75,db6,0.0663579514215893,sym2,0.04797724272463645,db2,0.04797724272457805,bior2.2,0.03801301977816835,db4,0.03624345243864675
Box,100cm_-10Grad.pickle,100.0,-10.0,22,Mic2,,db6,6,4,True,10,0.0671927257299427,iir_o6_bp25_75k,iir,6,25000.0,bp25_75,coif5,0.22543332777479644,rbio2.8,0.07375228521742379,db6,0.0671927257299427,sym2,0.048130785655629005,db2,0.04813078565557032
Box,100cm_-10Grad.pickle,100.0,-10.0,23,Mic2,,db6,6,4,True,10,0.06539391779897562,iir_o6_bp25_75k,iir,6,25000.0,bp25_75,db6,0.06539391779897562,sym2,0.04829385885485469,db2,0.04829385885479552,bior2.2,0.03812817269216422,db4,0.036381189273991726
Box,100cm_-10Grad.pickle,100.0,-10.0,24,Mic2,,db6,6,4,True,10,0.06282951758812969,iir_o6_bp25_75k,iir,6,25000.0,bp25_75,db6,0.06282951758812969,sym2,0.04822171120387277,db2,0.04822171120381401,bior2.2,0.03810557758968103,db4,0.03640871110869489
Box,100cm_-10Grad.pickle,100.0,-10.0,25,Mic2,,db6,6,4,True,10,0.06513149693531914,iir_o6_bp25_75k,iir,6,25000.0,bp25_75,db6,0.06513149693531914,sym2,0.048278271951106885,db2,0.04827827195104732,bior2.2,0.038146229043451614,db4,0.03639371365253302
Box,100cm_-10Grad.pickle,100.0,-10.0,26,Mic2,,db6,6,4,True,10,0.06721778095118272,iir_o6_bp25_75k,iir,6,25000.0,bp25_75,db6,0.06721778095118272,sym2,0.048320048015823,db2,0.048320048015763964,bior2.2,0.03817899812155806,db4,0.03641215781956643
Box,100cm_-10Grad.pickle,100.0,-10.0,27,Mic2,,db6,6,4,True,10,0.06611638124459987,iir_o6_bp25_75k,iir,6,25000.0,bp25_75,db6,0.06611638124459987,sym2,0.04817960075968,db2,0.048179600759621036,bior2.2,0.03812019567768959,db4,0.036391745473336824
Box,100cm_-10Grad.pickle,100.0,-10.0,28,Mic2,,db6,6,4,True,10,0.06662690132407754,iir_o6_bp25_75k,iir,6,25000.0,bp25_75,db6,0.06662690132407754,sym2,0.04817798015877796,db2,0.048177980158719325,bior2.2,0.03808024675107294,db4,0.03635801594092588
Box,100cm_-10Grad.pickle,100.0,-10.0,29,Mic2,,db6,6,4,True,10,0.06734637919230999,iir_o6_bp25_75k,iir,6,25000.0,bp25_75,db6,0.06734637919230999,sym2,0.048184815078274976,db2,0.04818481507821613,bior2.2,0.0381186915172609,db4,0.03637817756011674
Box,100cm_-10Grad.pickle,100.0,-10.0,30,Mic2,,db6,6,4,True,10,0.06480869143730669,iir_o6_bp25_75k,iir,6,25000.0,bp25_75,db6,0.06480869143730669,sym2,0.04819520590027629,db2,0.048195205900217475,bior2.2,0.03808956222087116,db4,0.036355353848022964
Box,100cm_-10Grad.pickle,100.0,-10.0,31,Mic2,,db6,6,4,True,10,0.06725868353044238,iir_o6_bp25_75k,iir,6,25000.0,bp25_75,rbio2.8,0.09036985421606444,db6,0.06725868353044238,sym2,0.04813099415074568,db2,0.048130994150687036,bior2.2,0.03807801705014484
Box,100cm_-10Grad.pickle,100.0,-10.0,32,Mic2,,db6,6,4,True,10,0.06696604840063651,iir_o6_bp25_75k,iir,6,25000.0,bp25_75,db6,0.06696604840063651,sym2,0.04821105660174699,db2,0.048211056601687965,bior2.2,0.038096711283441866,db4,0.036364415953133736
Box,100cm_-10Grad.pickle,100.0,-10.0,33,Mic2,,db6,6,4,True,10,0.06636770632194476,iir_o6_bp25_75k,iir,6,25000.0,bp25_75,db6,0.06636770632194476,sym2,0.04812668617131029,db2,0.048126686171251196,bior2.2,0.038118917254655625,db4,0.03635286540463658
Box,100cm_-10Grad.pickle,100.0,-10.0,34,Mic2,,db6,6,4,True,10,0.06737025863367249,iir_o6_bp25_75k,iir,6,25000.0,bp25_75,db6,0.06737025863367249,sym2,0.04827223122499469,db2,0.04827223122493536,bior2.2,0.038106903211503236,db4,0.0363858216461774
