category,file,distance_cm,angle_deg,meas_idx,mic,band_center_hz,best_wavelet,best_kappa_decomposition_level,min_kappa_target,min_kappa_satisfied,best_effective_level,best_mu_sc,bp_cfg_id,bp_method,iir_order,bw_hz,preprocess_mode,top1_wavelet,top1_mu_sc,top2_wavelet,top2_mu_sc,top3_wavelet,top3_mu_sc,top4_wavelet,top4_mu_sc,top5_wavelet,top5_mu_sc
Box,100cm_-10Grad.pickle,100.0,-10.0,17,Mic1,,dmey,5,4,True,8,0.041269642924976035,raw_no_bandpass,none,0,0.0,raw,dmey,0.041269642924976035,coif3,0.04012464430752592,bior2.2,0.03708302564693652,rbio1.3,0.034811599685698934,sym5,0.0342445014851031
Box,100cm_-10Grad.pickle,100.0,-10.0,18,Mic1,,dmey,5,4,True,8,0.04144436514823662,raw_no_bandpass,none,0,0.0,raw,dmey,0.04144436514823662,coif3,0.04114409752252495,bior2.2,0.037363319803878976,db2,0.03478276798883182,sym2,0.0347827679888267
Box,100cm_-10Grad.pickle,100.0,-10.0,19,Mic1,,dmey,5,4,True,8,0.04149296682525681,raw_no_bandpass,none,0,0.0,raw,dmey,0.04149296682525681,coif3,0.04062549282621067,bior2.2,0.03890336735678472,rbio1.3,0.034512377347679334,db2,0.03388573864613026
Box,100cm_-10Grad.pickle,100.0,-10.0,20,Mic1,,dmey,5,4,True,8,0.04110592382101816,raw_no_bandpass,none,0,0.0,raw,dmey,0.04110592382101816,coif3,0.039698971557599626,bior2.2,0.03750424278908439,db2,0.03484856895118037,sym2,0.03484856895117626
Box,100cm_-10Grad.pickle,100.0,-10.0,21,Mic1,,dmey,5,4,True,8,0.0418699179792841,raw_no_bandpass,none,0,0.0,raw,dmey,0.0418699179792841,coif3,0.04086905319602161,bior2.2,0.037132260513837625,db2,0.034517616939874304,sym2,0.03451761693986898
Box,100cm_-10Grad.pickle,100.0,-10.0,22,Mic1,,dmey,5,4,True,8,0.04171817587216725,raw_no_bandpass,none,0,0.0,raw,dmey,0.04171817587216725,coif3,0.04145813242375397,bior2.2,0.03742358847231857,rbio1.3,0.03444344143830819,sym5,0.03360323390014116
Box,100cm_-10Grad.pickle,100.0,-10.0,23,Mic1,,dmey,5,4,True,8,0.041455867639825526,raw_no_bandpass,none,0,0.0,raw,dmey,0.041455867639825526,rbio2.8,0.03977639895706909,coif3,0.03971649378916174,bior2.2,0.03728996642254841,rbio1.3,0.03555751770914566
Box,100cm_-10Grad.pickle,100.0,-10.0,24,Mic1,,dmey,5,4,True,8,0.0414060794871595,raw_no_bandpass,none,0,0.0,raw,dmey,0.0414060794871595,coif3,0.039809097076450195,bior2.2,0.03866748664659424,rbio1.3,0.03476972738636187,db2,0.03463606728503704
Box,100cm_-10Grad.pickle,100.0,-10.0,25,Mic1,,dmey,5,4,True,8,0.041604821612896865,raw_no_bandpass,none,0,0.0,raw,dmey,0.041604821612896865,coif3,0.04094289484976447,bior2.2,0.03886988938989596,rbio1.3,0.03481675180060746,sym5,0.034180323795714625
Box,100cm_-10Grad.pickle,100.0,-10.0,26,Mic1,,dmey,5,4,True,8,0.04168650563540028,raw_no_bandpass,none,0,0.0,raw,dmey,0.04168650563540028,coif3,0.04065846982436196,bior2.2,0.0377990646618689,rbio1.3,0.03455232994071799,sym5,0.033935876024165056
Box,100cm_-10Grad.pickle,100.0,-10.0,27,Mic1,,dmey,5,4,True,8,0.041480259624754295,raw_no_bandpass,none,0,0.0,raw,dmey,0.041480259624754295,coif3,0.041260590447572985,bior2.2,0.03772167457091633,rbio1.3,0.03458311873279231,db2,0.03449903475021253
Box,100cm_-10Grad.pickle,100.0,-10.0,28,Mic1,,coif3,6,4,True,10,0.0418413773051646,raw_no_bandpass,none,0,0.0,raw,coif3,0.0418413773051646,dmey,0.041716931993450716,bior2.2,0.03749565618507867,sym5,0.03433966788595514,rbio1.3,0.034307221949935636
Box,100cm_-10Grad.pickle,100.0,-10.0,29,Mic1,,dmey,5,4,True,8,0.041661597359180715,raw_no_bandpass,none,0,0.0,raw,dmey,0.041661597359180715,coif3,0.04106422439314602,bior2.2,0.03781334932568926,db2,0.0348063069621915,sym2,0.034806306962186326
Box,100cm_-10Grad.pickle,100.0,-10.0,30,Mic1,,dmey,5,4,True,8,0.041532419915408715,raw_no_bandpass,none,0,0.0,raw,dmey,0.041532419915408715,rbio2.8,0.041108082176531856,coif3,0.04011558403640297,bior2.2,0.03744824519602015,db2,0.034731599057384877
Box,100cm_-10Grad.pickle,100.0,-10.0,31,Mic1,,dmey,5,4,True,8,0.04161951790324655,raw_no_bandpass,none,0,0.0,raw,dmey,0.04161951790324655,rbio2.8,0.041175319946703065,coif3,0.039561004664294276,bior2.2,0.037405551942701384,db2,0.03484289438567332
Box,100cm_-10Grad.pickle,100.0,-10.0,32,Mic1,,dmey,5,4,True,8,0.04119254072101994,raw_no_bandpass,none,0,0.0,raw,dmey,0.04119254072101994,coif3,0.03920803372284774,bior2.2,0.038295485553515106,rbio1.3,0.034578528030668756,db2,0.03430601759690026
Box,100cm_-10Grad.pickle,100.0,-10.0,33,Mic1,,coif3,6,4,True,10,0.04168780128418188,raw_no_bandpass,none,0,0.0,raw,coif3,0.04168780128418188,dmey,0.04134104608750931,bior2.2,0.03807138601556925,db2,0.035076131285918445,sym2,0.035076131285914004
Box,100cm_-10Grad.pickle,100.0,-10.0,34,Mic1,,dmey,5,4,True,8,0.04143642580839593,raw_no_bandpass,none,0,0.0,raw,dmey,0.04143642580839593,coif3,0.04047336918574183,bior2.2,0.03775501205959479,db2,0.034917250730366015,sym2,0.03491725073036145
Box,100cm_-10Grad.pickle,100.0,-10.0,35,Mic1,,dmey,5,4,True,8,0.0414770399865802,raw_no_bandpass,none,0,0.0,raw,dmey,0.0414770399865802,coif3,0.04098598657515479,bior2.2,0.037507487282724086,db2,0.03450972267213789,sym2,0.034509722672133133
Box,100cm_-10Grad.pickle,100.0,-10.0,36,Mic1,,dmey,5,4,True,8,0.04148960542482812,raw_no_bandpass,none,0,0.0,raw,dmey,0.04148960542482812,coif3,0.0412364571548975,bior2.2,0.03820630888942282,sym5,0.03443695372627009,rbio1.3,0.03417369073936175
Box,100cm_-10Grad.pickle,100.0,-10.0,37,Mic1,,dmey,5,4,True,8,0.04154407697686304,raw_no_bandpass,none,0,0.0,raw,dmey,0.04154407697686304,rbio2.8,0.03988944066465127,coif3,0.039022993601636066,bior2.2,0.0374223542264723,rbio1.3,0.0352320229906177
Box,100cm_-10Grad.pickle,100.0,-10.0,38,Mic1,,dmey,5,4,True,8,0.041563683555723346,raw_no_bandpass,none,0,0.0,raw,dmey,0.041563683555723346,sym6,0.04102488478139182,rbio2.8,0.04038462070613053,coif3,0.03871499185391825,bior2.2,0.037603553834948844
Box,100cm_-10Grad.pickle,100.0,-10.0,39,Mic1,,dmey,5,4,True,8,0.04157093677505021,raw_no_bandpass,none,0,0.0,raw,dmey,0.04157093677505021,rbio2.8,0.04003114632917632,coif3,0.03839369275162886,bior2.2,0.03720493598411116,rbio1.3,0.03530262482296265
Box,100cm_-10Grad.pickle,100.0,-10.0,40,Mic1,,dmey,5,4,True,8,0.04176693229908997,raw_no_bandpass,none,0,0.0,raw,dmey,0.04176693229908997,rbio2.8,0.04065163083363103,coif3,0.0393858297744026,bior2.2,0.036949221677809854,rbio1.3,0.03575636873749725
Box,100cm_-10Grad.pickle,100.0,-10.0,41,Mic1,,dmey,5,4,True,8,0.0415507883028807,raw_no_bandpass,none,0,0.0,raw,dmey,0.0415507883028807,coif3,0.041015294145283064,bior2.2,0.03813065785106936,db2,0.0353655093634652,sym2,0.03536550936346114
Box,100cm_-10Grad.pickle,100.0,-10.0,42,Mic1,,dmey,5,4,True,8,0.04167114523583681,raw_no_bandpass,none,0,0.0,raw,dmey,0.04167114523583681,rbio2.8,0.040677889310373395,coif3,0.03951780434811833,bior2.2,0.03766367618874282,rbio1.3,0.034658261168859936
Box,100cm_-10Grad.pickle,100.0,-10.0,43,Mic1,,dmey,5,4,True,8,0.041301415359740995,raw_no_bandpass,none,0,0.0,raw,dmey,0.041301415359740995,rbio2.8,0.04129707899533209,coif3,0.03882278076109686,bior2.2,0.037675522291322885,rbio1.3,0.035312117589098524
Box,100cm_-10Grad.pickle,100.0,-10.0,44,Mic1,,dmey,5,4,True,8,0.04160254092941214,raw_no_bandpass,none,0,0.0,raw,dmey,0.04160254092941214,coif3,0.04010807675396417,bior2.2,0.03806056305046896,db2,0.03490934913765728,sym2,0.03490934913765264
Box,100cm_-10Grad.pickle,100.0,-10.0,45,Mic1,,coif3,6,4,True,10,0.04130669318997915,raw_no_bandpass,none,0,0.0,raw,coif3,0.04130669318997915,dmey,0.041060803854308194,bior2.2,0.0360605874135407,sym5,0.03470795063363372,bior1.1,0.033801310258905204
Box,100cm_-10Grad.pickle,100.0,-10.0,46,Mic1,,dmey,5,4,True,8,0.04159460058287049,raw_no_bandpass,none,0,0.0,raw,dmey,0.04159460058287049,coif3,0.04122056163574153,bior2.2,0.03785120645925295,db2,0.03526195344784528,sym2,0.03526195344784111
Box,100cm_-10Grad.pickle,100.0,-10.0,47,Mic1,,dmey,5,4,True,8,0.04165812100303089,raw_no_bandpass,none,0,0.0,raw,dmey,0.04165812100303089,coif3,0.04141747810202913,bior2.2,0.03775230225742882,rbio1.3,0.034448358786537084,sym5,0.03398314836655819
Box,100cm_-10Grad.pickle,100.0,-10.0,48,Mic1,,dmey,5,4,True,8,0.041353653297681765,raw_no_bandpass,none,0,0.0,raw,dmey,0.041353653297681765,coif3,0.03899230836887639,bior2.2,0.03761125907937381,sym5,0.034425071469837275,rbio1.3,0.03415958593765622
Box,100cm_-10Grad.pickle,100.0,-10.0,49,Mic1,,dmey,5,4,True,8,0.041519908236001456,raw_no_bandpass,none,0,0.0,raw,dmey,0.041519908236001456,rbio2.8,0.04006347128635215,coif3,0.03971592784735544,bior2.2,0.0371580694998514,rbio1.3,0.035380358648737585
Box,100cm_-10Grad.pickle,100.0,-10.0,50,Mic1,,rbio2.8,7,4,True,10,0.042666188669899685,raw_no_bandpass,none,0,0.0,raw,rbio2.8,0.042666188669899685,dmey,0.04166368641056518,coif3,0.04082248544137672,bior2.2,0.037880163554941566,db2,0.03504923000222276
Box,100cm_-10Grad.pickle,100.0,-10.0,51,Mic1,,dmey,5,4,True,8,0.04167971502460391,raw_no_bandpass,none,0,0.0,raw,dmey,0.04167971502460391,coif3,0.039881965450784485,bior2.2,0.039625336419226734,rbio1.3,0.03487700986780675,db2,0.034819585703075
Box,100cm_-10Grad.pickle,100.0,-10.0,52,Mic1,,dmey,5,4,True,8,0.04180139248745174,raw_no_bandpass,none,0,0.0,raw,dmey,0.04180139248745174,coif3,0.040774114586919694,bior2.2,0.03847743481428388,rbio1.3,0.035051590412588596,db2,0.03478961790826629
Box,100cm_-10Grad.pickle,100.0,-10.0,53,Mic1,,dmey,5,4,True,8,0.04156910591543486,raw_no_bandpass,none,0,0.0,raw,dmey,0.04156910591543486,coif3,0.03999708581139454,bior2.2,0.03886906826094255,db2,0.03551220925976571,sym2,0.035512209259762194
Box,100cm_-10Grad.pickle,100.0,-10.0,54,Mic1,,dmey,5,4,True,8,0.041259925534030205,raw_no_bandpass,none,0,0.0,raw,dmey,0.041259925534030205,coif3,0.04058750907931647,bior2.2,0.03736947559839825,db2,0.03529783461347173,sym2,0.03529783461346738
Box,100cm_-10Grad.pickle,100.0,-10.0,55,Mic1,,dmey,5,4,True,8,0.04148781842688216,raw_no_bandpass,none,0,0.0,raw,dmey,0.04148781842688216,coif3,0.039079908863015274,bior2.2,0.03775622488298032,rbio1.3,0.03423853914641475,db2,0.033897301854323374
Box,100cm_-10Grad.pickle,100.0,-10.0,56,Mic1,,dmey,5,4,True,8,0.0413758012686008,raw_no_bandpass,none,0,0.0,raw,dmey,0.0413758012686008,coif3,0.039333018211631855,bior2.2,0.038722033404201835,db2,0.03482879319044013,sym2,0.03482879319043557
Box,100cm_-10Grad.pickle,100.0,-10.0,57,Mic1,,dmey,5,4,True,8,0.041536840801438615,raw_no_bandpass,none,0,0.0,raw,dmey,0.041536840801438615,coif3,0.041282436645961415,bior2.2,0.03944333733840662,rbio1.3,0.03476562697740804,sym5,0.03455475331067837
Box,100cm_-10Grad.pickle,100.0,-10.0,58,Mic1,,dmey,5,4,True,8,0.04172772410891389,raw_no_bandpass,none,0,0.0,raw,dmey,0.04172772410891389,coif3,0.039776577801638985,rbio2.8,0.039728431380093764,bior2.2,0.03772457029688743,rbio1.3,0.03536905456119473
Box,100cm_-10Grad.pickle,100.0,-10.0,59,Mic1,,dmey,5,4,True,8,0.0414273079367992,raw_no_bandpass,none,0,0.0,raw,dmey,0.0414273079367992,rbio2.8,0.04016615248748076,coif3,0.039608574955041144,bior2.2,0.03777205975874905,rbio1.3,0.03533450445881527
Box,100cm_-10Grad.pickle,100.0,-10.0,60,Mic1,,dmey,5,4,True,8,0.04138378693206823,raw_no_bandpass,none,0,0.0,raw,dmey,0.04138378693206823,coif3,0.04012647218296377,rbio2.8,0.03895030297358792,bior2.2,0.03693002548419856,rbio1.3,0.03516848714964834
Box,100cm_-10Grad.pickle,100.0,-10.0,61,Mic1,,dmey,5,4,True,8,0.041559083083348845,raw_no_bandpass,none,0,0.0,raw,dmey,0.041559083083348845,coif3,0.04029037069170281,bior2.2,0.037856030776754014,rbio1.3,0.034105962093099775,sym5,0.03381668591658224
Box,100cm_-10Grad.pickle,100.0,-10.0,62,Mic1,,dmey,5,4,True,8,0.041457787068502935,raw_no_bandpass,none,0,0.0,raw,dmey,0.041457787068502935,rbio2.8,0.04078046931798136,coif3,0.0388710433357689,bior2.2,0.03636971695350163,db5,0.03510995076384983
Box,100cm_-10Grad.pickle,100.0,-10.0,63,Mic1,,dmey,5,4,True,8,0.0413949765437387,raw_no_bandpass,none,0,0.0,raw,dmey,0.0413949765437387,bior2.2,0.039229615461869524,coif3,0.039181765130077956,rbio1.3,0.03519854923971715,db2,0.034639619834848305
Box,100cm_-10Grad.pickle,100.0,-10.0,64,Mic1,,dmey,5,4,True,8,0.04160778753240287,raw_no_bandpass,none,0,0.0,raw,dmey,0.04160778753240287,coif3,0.04118962975396534,bior2.2,0.03832490545521104,db2,0.035077389981364816,sym2,0.03507738998135951
Box,100cm_-10Grad.pickle,100.0,-10.0,65,Mic1,,dmey,5,4,True,8,0.041560873362240174,raw_no_bandpass,none,0,0.0,raw,dmey,0.041560873362240174,rbio2.8,0.04142973831633155,coif3,0.039545900367351665,bior2.2,0.03790688021512297,rbio1.3,0.03518203654901646
Box,100cm_-10Grad.pickle,100.0,-10.0,66,Mic1,,dmey,5,4,True,8,0.041608067441312936,raw_no_bandpass,none,0,0.0,raw,dmey,0.041608067441312936,coif3,0.04084741574235973,bior2.2,0.03869895737718945,rbio1.3,0.034545351978726,db6,0.03379999984911892
Box,100cm_-10Grad.pickle,100.0,-10.0,67,Mic1,,dmey,5,4,True,8,0.04161162539297609,raw_no_bandpass,none,0,0.0,raw,dmey,0.04161162539297609,rbio2.8,0.039461121904937675,coif3,0.03927618725142794,bior2.2,0.03775336094043784,rbio1.3,0.034880099783702684
Box,100cm_-10Grad.pickle,100.0,-10.0,68,Mic1,,dmey,5,4,True,8,0.04181731966626035,raw_no_bandpass,none,0,0.0,raw,dmey,0.04181731966626035,coif3,0.041703607915400384,bior2.2,0.03811365171729615,db2,0.03543129983854435,sym2,0.035431299838540146
Box,100cm_-10Grad.pickle,100.0,-10.0,69,Mic1,,coif3,6,4,True,10,0.04239987342792606,raw_no_bandpass,none,0,0.0,raw,coif3,0.04239987342792606,dmey,0.041638998472089295,bior2.2,0.03770845244053171,rbio1.3,0.034702819478546906,sym5,0.03329266955316184
