category,file,distance_cm,angle_deg,meas_idx,mic,band_center_hz,best_wavelet,best_kappa_decomposition_level,min_kappa_target,min_kappa_satisfied,best_effective_level,best_mu_sc,bp_cfg_id,bp_method,iir_order,bw_hz,preprocess_mode,top1_wavelet,top1_mu_sc,top2_wavelet,top2_mu_sc,top3_wavelet,top3_mu_sc,top4_wavelet,top4_mu_sc,top5_wavelet,top5_mu_sc
Box,100cm_-10Grad.pickle,100.0,-10.0,0,Mic2,,sym2,6,4,True,12,0.05815691246751546,raw_no_bandpass,none,0,0.0,raw,sym2,0.05815691246751546,db2,0.05815691246748069,db11,0.038808526871386154,rbio2.6,0.0377244975475233,rbio2.4,0.037212462580634605
Box,100cm_-10Grad.pickle,100.0,-10.0,1,Mic2,,sym2,6,4,True,12,0.05730588165162698,raw_no_bandpass,none,0,0.0,raw,sym2,0.05730588165162698,db2,0.05730588165159291,db11,0.03833042818254519,rbio2.6,0.037788631608259335,rbio2.4,0.03727189092126772
Box,100cm_-10Grad.pickle,100.0,-10.0,2,Mic2,,sym2,6,4,True,12,0.05566588759897839,raw_no_bandpass,none,0,0.0,raw,sym2,0.05566588759897839,db2,0.05566588759894433,rbio2.6,0.037973170048180876,db11,0.03755987644935684,rbio2.4,0.03747007096333152
Box,100cm_-10Grad.pickle,100.0,-10.0,3,Mic2,,sym2,6,4,True,12,0.056594919038820315,raw_no_bandpass,none,0,0.0,raw,sym2,0.056594919038820315,db2,0.05659491903878764,db11,0.03806313559150109,rbio2.6,0.037793965800501865,rbio2.4,0.03727042740790449
Box,100cm_-10Grad.pickle,100.0,-10.0,4,Mic2,,sym2,6,4,True,12,0.057705702629246215,raw_no_bandpass,none,0,0.0,raw,sym2,0.057705702629246215,db2,0.057705702629209786,db11,0.03870801996068088,rbio2.6,0.03779205858492184,rbio2.4,0.037271095090231174
Box,100cm_-10Grad.pickle,100.0,-10.0,5,Mic2,,sym2,6,4,True,12,0.057387328751506504,raw_no_bandpass,none,0,0.0,raw,sym2,0.057387328751506504,db2,0.057387328751471255,db11,0.03787541274077112,rbio2.6,0.03787491023667366,rbio2.4,0.03737605868146632
Box,100cm_-10Grad.pickle,100.0,-10.0,6,Mic2,,sym2,6,4,True,12,0.057040145130696496,raw_no_bandpass,none,0,0.0,raw,sym2,0.057040145130696496,db2,0.05704014513066202,rbio2.6,0.03788819889723537,db11,0.03773067555674118,rbio2.4,0.03736592602096555
Box,100cm_-10Grad.pickle,100.0,-10.0,7,Mic2,,sym2,6,4,True,12,0.05729076728024922,raw_no_bandpass,none,0,0.0,raw,sym2,0.05729076728024922,db2,0.057290767280213616,db11,0.0380114664090775,rbio2.6,0.037767733475597934,rbio2.4,0.037283264401875814
Box,100cm_-10Grad.pickle,100.0,-10.0,8,Mic2,,sym2,6,4,True,12,0.05670246263234372,raw_no_bandpass,none,0,0.0,raw,sym2,0.05670246263234372,db2,0.05670246263231123,rbio2.6,0.03778722878611736,db11,0.037770303833731554,rbio2.4,0.03728598642708197
Box,100cm_-10Grad.pickle,100.0,-10.0,9,Mic2,,sym2,6,4,True,12,0.05782153074208699,raw_no_bandpass,none,0,0.0,raw,sym2,0.05782153074208699,db2,0.05782153074204771,db11,0.03809213890832912,rbio2.6,0.037783901028296756,rbio2.4,0.03728167165926625
Box,100cm_-10Grad.pickle,100.0,-10.0,10,Mic2,,sym2,6,4,True,12,0.057689425316879914,raw_no_bandpass,none,0,0.0,raw,sym2,0.057689425316879914,db2,0.05768942531684238,db11,0.038239556576039016,rbio2.6,0.03786787087841179,rbio2.4,0.03734907082147091
Box,100cm_-10Grad.pickle,100.0,-10.0,11,Mic2,,sym2,6,4,True,12,0.05684364656115648,raw_no_bandpass,none,0,0.0,raw,sym2,0.05684364656115648,db2,0.05684364656111811,rbio2.6,0.03779460410483599,db11,0.03772558040652795,rbio2.4,0.0373254291413185
Box,100cm_-10Grad.pickle,100.0,-10.0,12,Mic2,,sym2,6,4,True,12,0.05764989459747988,raw_no_bandpass,none,0,0.0,raw,sym2,0.05764989459747988,db2,0.05764989459744348,db11,0.037908171168499316,rbio2.6,0.03767246785751604,rbio2.4,0.037189968411253334
Box,100cm_-10Grad.pickle,100.0,-10.0,13,Mic2,,sym2,6,4,True,12,0.05745719265423647,raw_no_bandpass,none,0,0.0,raw,sym2,0.05745719265423647,db2,0.05745719265420166,db11,0.03850648608488981,rbio2.6,0.03777526474208404,rbio2.4,0.03724921710110493
Box,100cm_-10Grad.pickle,100.0,-10.0,14,Mic2,,sym2,6,4,True,12,0.05806360632258645,raw_no_bandpass,none,0,0.0,raw,sym2,0.05806360632258645,db2,0.0580636063225516,db11,0.03831704544026528,rbio2.6,0.037820187890790266,rbio2.4,0.03730401438592628
Box,100cm_-10Grad.pickle,100.0,-10.0,15,Mic2,,sym2,6,4,True,12,0.05628154258357591,raw_no_bandpass,none,0,0.0,raw,sym2,0.05628154258357591,db2,0.05628154258354072,db11,0.038188155876259594,rbio2.6,0.037890580417064945,rbio2.4,0.037369552719186086
Box,100cm_-10Grad.pickle,100.0,-10.0,16,Mic2,,sym2,6,4,True,12,0.05698297147782938,raw_no_bandpass,none,0,0.0,raw,sym2,0.05698297147782938,db2,0.0569829714777923,db11,0.03825932515464436,rbio2.6,0.03747363714242809,rbio2.4,0.03698459047787381
Box,100cm_-10Grad.pickle,100.0,-10.0,17,Mic2,,sym2,6,4,True,12,0.057517699414867104,raw_no_bandpass,none,0,0.0,raw,sym2,0.057517699414867104,db2,0.05751769941482863,db11,0.03797604298915888,rbio2.6,0.03769390418386183,rbio2.4,0.03716049770540584
Box,100cm_-10Grad.pickle,100.0,-10.0,18,Mic2,,sym2,6,4,True,12,0.055821580698901085,raw_no_bandpass,none,0,0.0,raw,sym2,0.055821580698901085,db2,0.055821580698868736,db11,0.037651486057732594,rbio2.6,0.03756791306721345,rbio2.4,0.03706528291391816
