target_band_hz,cfg_id,order,bw_hz,roi_rms_mean,roi_rms_std,envelope_peak_mean,envelope_peak_std,envelope_median_mean,envelope_median_std,envelope_peak_prominence_ratio_mean,envelope_peak_prominence_ratio_std,envelope_peak_to_second_ratio_mean,envelope_peak_to_second_ratio_std,peak_count_over_35pct_mean,peak_count_over_35pct_std,false_peak_penalty_mean,false_peak_penalty_std,detectability_score_mean,detectability_score_std,peak_index_mean,peak_index_std,peak_time_us_mean,peak_time_us_std,target_energy_mean,target_energy_std,off_energy_mean,off_energy_std,main_off_ratio_mean,main_off_ratio_std,main_off_ratio_db_mean,main_off_ratio_db_std,main_peak_power_mean,main_peak_power_std,secondary_peak_power_mean,secondary_peak_power_std,main_secondary_peak_ratio_mean,main_secondary_peak_ratio_std,main_secondary_peak_ratio_db_mean,main_secondary_peak_ratio_db_std,dominant_freq_hz_mean,dominant_freq_hz_std,dominant_freq_error_hz_mean,dominant_freq_error_hz_std,energy_40k_mean,energy_40k_std,energy_50k_mean,energy_50k_std,energy_60k_mean,energy_60k_std,n_samples
40000.0,iir_o5_bw7000,5,7000.0,50.92332066203413,50.72367658529383,109.09830457089647,103.65578552709603,64.10099970244153,69.51886668758013,1.8121069770103753,0.5145108206101362,1.0213997304171938,0.06902712548070182,33.76111111111111,29.89672426309549,32.76111111111111,29.896724263095493,-3.1385876301913185,2.9950761641734918,213.71666666666667,148.98431828542252,106.85833333333333,74.49215914271127,168672948.61441383,373801194.2276632,278901.77908826276,402314.8831432915,1489.9944059806003,4867.262094933144,24.854873320756486,8.04640413466809,168672948.61441383,373801194.2276632,278818.99513150856,402212.9074726214,1586.9947075383443,5509.895666409138,49.738521119232814,16.157280062144004,41269.84126984127,0.0,1269.8412698412722,0.0,168672948.61441383,373801194.2276632,278818.99513150856,402212.9074726214,82.78395675420938,201.2000998953259,180
50000.0,iir_o2_bw7000,2,7000.0,20.763618726743783,15.449602541303161,52.490017445168725,38.71215640934812,24.673647987204692,19.664765281372482,2.230072587712275,0.6482989195287163,1.0178492942058974,0.049375993169770274,19.044444444444444,15.230380628961367,18.044444444444444,15.230380628961367,-1.6182429155955191,1.5365327600906866,153.0611111111111,127.46493280008664,76.53055555555555,63.73246640004332,18270994.34859241,24975733.581055567,8822825.963547247,18795014.61260307,7.0391399368666425,6.6719052698966355,5.903604623994704,5.904310161605253,18270994.34859241,24975733.581055567,8086562.015849254,18187526.891034015,9.240907606702207,9.93057428479438,13.535491888535685,12.359835491495879,50793.6507936508,0.0,793.6507936507987,0.0,7913205.518744979,18227329.9387092,18270994.34859241,24975733.581055567,909620.4448022693,1446599.5049125284,180
60000.0,iir_o2_bw7000,2,7000.0,15.283611406851742,11.834657212210965,33.09604174894532,24.510669495790236,21.251735974806795,17.18299549991974,1.657216116094886,0.3643222523906306,1.0247381702086826,0.07812334258779566,28.194444444444443,26.03566467146872,27.194444444444443,26.03566467146872,-2.599683096376575,2.5810359605683977,191.38888888888889,136.17920287198007,95.69444444444444,68.08960143599003,16977326.554798298,24703854.264455434,825559.0261403475,1164912.031091962,54.74123852107806,104.11279365575554,13.231313074756876,5.689178593405884,16977326.554798298,24703854.264455434,814985.2941452676,1159268.5376096957,60.35787184650371,121.21355268883131,26.69817831173131,11.666679943133799,60317.460317460325,0.0,317.4603174603253,0.0,11203.282157660347,24782.09120010023,814355.7439826871,1159678.5533194987,16977326.554798298,24703854.264455434,180
