feature,importance_mean,importance_std
Mic2_Tx8_cD1_shannon,0.00706666666666671,0.0011623730516108685
Mic1_Tx5_cD1_energy,0.006533333333333368,0.0008844332774280895
Mic1_Tx1_env_rise_us,0.005200000000000027,0.0012220201853215729
Mic2_Tx8_cD1_kurt,0.004666666666666708,0.0011155467020454307
Mic1_Tx1_cD1_peakamp,0.004533333333333389,0.0012927146286443494
Mic1_Tx8_cD3_kurt,0.004266666666666708,0.0017688665548561842
Mic1_Tx5_env_peakamp,0.003866666666666707,0.0008844332774281129
Mic1_Tx5_cD1_logenergy,0.0037333333333333663,0.0014360439485691975
Mic1_Tx8_cD5_energy,0.0036000000000000476,0.0017178798302300256
Mic1_Tx1_env_peakamp,0.003466666666666707,0.0015434449203720634
Mic1_Tx8_cD4_peakamp,0.0032000000000000474,0.0016546231527987919
Mic2_Tx8_cD1_sparsity,0.0032000000000000474,0.0006531972647421905
Mic2_Tx8_cD2_shannon,0.003200000000000025,0.0014236104336041676
Mic1_Tx8_cD3_logenergy,0.003200000000000025,0.0007774602526460382
Mic1_Tx8_cD3_shannon,0.0030666666666667062,0.0009977753031396937
Mic1_Tx8_cD5_logenergy,0.003066666666666684,0.0015549205052920842
Mic2_Tx8_cD2_logenergy,0.0029333333333333876,0.002004439517116383
Mic1_Tx8_cD4_energy,0.002666666666666684,0.0016329931618554625
Mic1_Tx8_cD3_energy,0.0024000000000000466,0.0009977753031397353
Mic1_Tx5_env_fwhm_us,0.0022666666666666833,0.0003265986323711088
Mic2_Tx5_cD1_kurt,0.0022666666666666833,0.002444040370643113
Mic2_Tx8_cD3_energy,0.002133333333333387,0.0007774602526460382
Mic1_Tx8_cD3_peakamp,0.002133333333333387,0.000979795897113275
Mic1_Tx8_cD5_peakamp,0.0021333333333333647,0.0004988876515698514
Mic1_Tx5_env_decay_us,0.002000000000000046,0.0011925695879998683
Mic1_Tx8_cD2_shannon,0.002000000000000046,0.0011925695879998683
Mic1_Tx8_env_kurt,0.002000000000000046,0.000596284793999928
Mic1_Tx1_env_kurt,0.002000000000000024,0.0007302967433402221
Mic2_Tx1_cA1_shannon,0.0018666666666667052,0.001543444920372006
Mic2_Tx5_cD5_logenergy,0.0018666666666667052,0.0004988876515698395
Mic2_Tx5_cD1_sparsity,0.0018666666666666831,0.001222020185321544
Mic2_Tx8_cD2_sparsity,0.0017333333333333645,0.0013063945294843537
Mic2_Tx5_cD1_energy,0.001600000000000068,0.0009043106644167109
Mic2_Tx1_cA1_kurt,0.0016000000000000458,0.0010832051206181453
Mic2_Tx8_env_fwhm_us,0.0016000000000000458,0.0013063945294843537
Mic2_Tx5_env_kurt,0.0016000000000000458,0.0013063945294843537
Mic2_Tx5_cD2_sparsity,0.0016000000000000237,0.0018184242262647954
Mic1_Tx5_spread_hz,0.0016000000000000237,0.001306394529484347
Mic1_Tx5_env_kurt,0.0016000000000000237,0.0005333333333333134
Mic2_Tx1_cD1_peakamp,0.001466666666666705,0.0011469767022723298
Mic1_Tx8_cD3_sparsity,0.001466666666666705,0.0007774602526460344
Mic2_Tx8_cD5_peakamp,0.0013333333333333864,0.0004216370213557726
Mic2_Tx1_cD1_shannon,0.001333333333333364,0.002981423969999739
Mic1_Tx1_cD3_peakamp,0.0012000000000000454,0.0004988876515698513
Mic2_Tx1_cD3_energy,0.0012000000000000454,0.0004988876515698514
Mic1_Tx1_cD2_peakpos,0.0012000000000000233,0.0010666666666666795
Mic1_Tx5_cD2_logenergy,0.0010666666666667047,0.002370185177950811
Mic1_Tx1_cD3_logenergy,0.0010666666666667047,0.0005333333333333246
Mic1_Tx8_cD2_peakamp,0.0010666666666667047,0.0009977753031397384
Mic2_Tx5_cD2_logenergy,0.0010666666666666823,0.0010832051206181373
Mic2_Tx8_cD2_energy,0.000933333333333386,0.002091251618847747
Mic1_Tx5_cA1_peakpos,0.000933333333333386,0.0009043106644166879
Mic2_Tx1_cD4_kurt,0.000933333333333386,0.0005333333333333634
Mic1_Tx1_cD4_energy,0.0009333333333333638,0.000533333333333319
Mic2_Tx8_cA1_peakpos,0.0009333333333333638,0.0006798692684790415
Mic1_Tx1_cD2_sparsity,0.0009333333333333638,0.0012364824660660845
Mic1_Tx8_cD4_logenergy,0.0009333333333333638,0.0009977753031396909
Mic1_Tx5_env_rise_us,0.0009333333333333638,0.0008000000000000155
Mic1_Tx5_cD3_energy,0.0009333333333333416,0.0009043106644167011
Mic1_Tx1_centroid_hz,0.0008000000000000674,0.0007774602526460419
Mic1_Tx8_cD1_energy,0.0008000000000000451,0.000498887651569887
Mic2_Tx5_kurt,0.0008000000000000451,0.000498887651569887
Mic1_Tx1_cD2_peakamp,0.0008000000000000451,0.0011469767022723504
Mic2_Tx5_cD3_kurt,0.0008000000000000229,0.0007774602526460496
Mic1_Tx5_cD1_shannon,0.0006666666666667265,0.0007302967433402221
Mic1_Tx5_cD3_sparsity,0.0006666666666667043,0.0011155467020454307
Mic1_Tx5_cD3_kurt,0.0006666666666667043,0.0004216370213558077
Mic2_Tx8_cD1_energy,0.0006666666666667043,0.0009428090415820537
Mic2_Tx8_cA1_logenergy,0.0006666666666667043,0.0004216370213558077
Mic2_Tx8_spread_hz,0.0006666666666667043,0.0004216370213558077
Mic1_Tx5_cD3_peakpos,0.000666666666666682,0.0008432740427115803
Mic2_Tx8_env_kurt,0.000666666666666682,0.0016329931618554625
Mic2_Tx5_cD5_shannon,0.0005333333333333856,0.0006531972647421769
Mic2_Tx8_cD4_sparsity,0.0005333333333333856,0.0006531972647421769
Mic2_Tx1_cD1_sparsity,0.0005333333333333856,0.0010666666666666463
