distance_cm,-10,-5,0,5,10
25,1.0,0.6533333333333333,0.6,0.37,0.58
50,0.6666666666666666,0.5933333333333334,0.29,0.59,1.0
75,0.6666666666666666,0.7166666666666667,0.44666666666666666,0.3933333333333333,0.6266666666666667
100,0.3,0.37666666666666665,0.17,0.71,0.5666666666666667
125,0.4166666666666667,0.45666666666666667,0.37,0.7466666666666667,0.5433333333333333
