distance_cm,-10,-5,0,5,10
25,0.6666666666666666,0.6733333333333333,0.43666666666666665,0.93,0.99
50,1.0,0.9933333333333333,0.6766666666666666,0.6466666666666666,0.71
75,1.0,1.0,0.9933333333333333,0.99,0.69
100,0.9933333333333333,0.9966666666666667,0.7533333333333333,0.9733333333333334,0.9766666666666667
125,1.0,1.0,0.72,0.99,0.9866666666666667
