file,material,distance_cm,angle_deg,mic,mode,n_trials,n_samples,output_plot
outputs\preprocessing\Glas__25cm_-10Grad__Mic2__trial50__bp_50kHz.npy,preprocessing,25.0,-10.0,Mic2,trial0,1,18000,outputs\stft\preprocessing\Glas__25cm_-10Grad__Mic2__trial50__bp_50kHz__Mic2__trial0.png
outputs\preprocessing\Glas__25cm_-10Grad__Mic2__trial50__bp_60kHz.npy,preprocessing,25.0,-10.0,Mic2,trial0,1,18000,outputs\stft\preprocessing\Glas__25cm_-10Grad__Mic2__trial50__bp_60kHz__Mic2__trial0.png
outputs\preprocessing\Glas__25cm_-10Grad__Mic2__trial50__preprocessed.npy,preprocessing,25.0,-10.0,Mic2,trial0,1,18000,outputs\stft\preprocessing\Glas__25cm_-10Grad__Mic2__trial50__preprocessed__Mic2__trial0.png
outputs\preprocessing\Glas__25cm_0Grad__Mic2__trial50__bp_40kHz.npy,preprocessing,25.0,0.0,Mic2,trial0,1,18000,outputs\stft\preprocessing\Glas__25cm_0Grad__Mic2__trial50__bp_40kHz__Mic2__trial0.png
outputs\preprocessing\Glas__25cm_0Grad__Mic2__trial50__bp_50kHz.npy,preprocessing,25.0,0.0,Mic2,trial0,1,18000,outputs\stft\preprocessing\Glas__25cm_0Grad__Mic2__trial50__bp_50kHz__Mic2__trial0.png
outputs\preprocessing\Glas__25cm_0Grad__Mic2__trial50__bp_60kHz.npy,preprocessing,25.0,0.0,Mic2,trial0,1,18000,outputs\stft\preprocessing\Glas__25cm_0Grad__Mic2__trial50__bp_60kHz__Mic2__trial0.png
outputs\preprocessing\Glas__25cm_0Grad__Mic2__trial50__preprocessed.npy,preprocessing,25.0,0.0,Mic2,trial0,1,18000,outputs\stft\preprocessing\Glas__25cm_0Grad__Mic2__trial50__preprocessed__Mic2__trial0.png
outputs\preprocessing\Glas__25cm_10Grad__Mic2__trial50__bp_40kHz.npy,preprocessing,25.0,10.0,Mic2,trial0,1,18000,outputs\stft\preprocessing\Glas__25cm_10Grad__Mic2__trial50__bp_40kHz__Mic2__trial0.png
outputs\preprocessing\Glas__25cm_10Grad__Mic2__trial50__bp_50kHz.npy,preprocessing,25.0,10.0,Mic2,trial0,1,18000,outputs\stft\preprocessing\Glas__25cm_10Grad__Mic2__trial50__bp_50kHz__Mic2__trial0.png
outputs\preprocessing\Glas__25cm_10Grad__Mic2__trial50__bp_60kHz.npy,preprocessing,25.0,10.0,Mic2,trial0,1,18000,outputs\stft\preprocessing\Glas__25cm_10Grad__Mic2__trial50__bp_60kHz__Mic2__trial0.png
outputs\preprocessing\Glas__25cm_10Grad__Mic2__trial50__preprocessed.npy,preprocessing,25.0,10.0,Mic2,trial0,1,18000,outputs\stft\preprocessing\Glas__25cm_10Grad__Mic2__trial50__preprocessed__Mic2__trial0.png
outputs\preprocessing\Glas__50cm_10Grad__Mic2__trial50__bp_40kHz.npy,preprocessing,50.0,10.0,Mic2,trial0,1,18000,outputs\stft\preprocessing\Glas__50cm_10Grad__Mic2__trial50__bp_40kHz__Mic2__trial0.png
outputs\preprocessing\Glas__50cm_10Grad__Mic2__trial50__bp_50kHz.npy,preprocessing,50.0,10.0,Mic2,trial0,1,18000,outputs\stft\preprocessing\Glas__50cm_10Grad__Mic2__trial50__bp_50kHz__Mic2__trial0.png
outputs\preprocessing\Glas__50cm_10Grad__Mic2__trial50__bp_60kHz.npy,preprocessing,50.0,10.0,Mic2,trial0,1,18000,outputs\stft\preprocessing\Glas__50cm_10Grad__Mic2__trial50__bp_60kHz__Mic2__trial0.png
outputs\preprocessing\Glas__50cm_10Grad__Mic2__trial50__preprocessed.npy,preprocessing,50.0,10.0,Mic2,trial0,1,18000,outputs\stft\preprocessing\Glas__50cm_10Grad__Mic2__trial50__preprocessed__Mic2__trial0.png
outputs\preprocessing\Glas__75cm_10Grad__Mic2__trial50__bp_40kHz.npy,preprocessing,75.0,10.0,Mic2,trial0,1,18000,outputs\stft\preprocessing\Glas__75cm_10Grad__Mic2__trial50__bp_40kHz__Mic2__trial0.png
outputs\preprocessing\Glas__75cm_10Grad__Mic2__trial50__bp_50kHz.npy,preprocessing,75.0,10.0,Mic2,trial0,1,18000,outputs\stft\preprocessing\Glas__75cm_10Grad__Mic2__trial50__bp_50kHz__Mic2__trial0.png
outputs\preprocessing\Glas__75cm_10Grad__Mic2__trial50__bp_60kHz.npy,preprocessing,75.0,10.0,Mic2,trial0,1,18000,outputs\stft\preprocessing\Glas__75cm_10Grad__Mic2__trial50__bp_60kHz__Mic2__trial0.png
outputs\preprocessing\Glas__75cm_10Grad__Mic2__trial50__preprocessed.npy,preprocessing,75.0,10.0,Mic2,trial0,1,18000,outputs\stft\preprocessing\Glas__75cm_10Grad__Mic2__trial50__preprocessed__Mic2__trial0.png
