preprocessing,object,distance_cm,angle_deg,band_center_hz,n_trials,snr_db_mean,snr_db_median,snr_db_std,snr_db_q25,snr_db_q75,signal_power_mean,total_power_mean,reference_noise_power_mean
bandpassed,Box,25,-10.0,40000.0,100,14.669634019722599,14.670982688554455,0.20336512478795604,14.549196242310048,14.783557807851972,20617.14567283296,21319.881383338932,702.735710505975
bandpassed,Box,25,-10.0,50000.0,100,23.083582979303355,23.084016810237447,0.1849824457447662,22.966651658116916,23.18928026705556,15344.758603544316,15420.130715898771,75.37211235445429
bandpassed,Box,25,-10.0,60000.0,100,18.097140946985164,18.11240767045691,0.1482202777823505,17.988582070433836,18.192185911801126,6057.973058313023,6151.807688432378,93.8346301193543
bandpassed,Box,25,-5.0,40000.0,100,15.954861537785707,15.964116417564195,0.11170344665760142,15.852117966222988,16.036373276277136,27696.208843728993,28398.944554234968,702.735710505975
bandpassed,Box,25,-5.0,50000.0,100,24.09914919008023,24.108350777758595,0.1052975662620145,24.009852277200608,24.17685954178397,19375.455115940225,19450.827228294675,75.37211235445429
bandpassed,Box,25,-5.0,60000.0,100,18.690900303123797,18.673775592871145,0.08098403378204327,18.634595285363126,18.746215591042308,6942.693892673139,7036.528522792493,93.8346301193543
bandpassed,Box,25,0.0,40000.0,100,18.834710620394173,18.822080005635808,0.11349745637942192,18.773944657418994,18.898383074055246,53753.971009693334,54456.706720199305,702.735710505975
bandpassed,Box,25,0.0,50000.0,100,26.897521402485754,26.87952551600737,0.11144908007908015,26.83532981122321,26.95915623975255,36906.689788790645,36982.0619011451,75.37211235445429
bandpassed,Box,25,0.0,60000.0,100,22.033779190994572,22.01399287147327,0.11962781545765783,21.951005268768597,22.105601426614964,14993.571496884,15087.406127003354,93.8346301193543
bandpassed,Box,25,5.0,40000.0,100,16.001995971485098,15.99011810241559,0.11331880535847075,15.931032419079639,16.06667769458145,27998.738446477517,28701.47415698349,702.735710505975
bandpassed,Box,25,5.0,50000.0,100,24.060147121996007,24.050834963092875,0.1121962896879919,23.982406318691403,24.118333136237464,19203.01411564863,19278.386228003088,75.37211235445429
bandpassed,Box,25,5.0,60000.0,100,18.25755090241305,18.245333662769383,0.1028620832128088,18.200020610524792,18.314920480571896,6284.0409302612325,6377.875560380588,93.8346301193543
bandpassed,Box,25,10.0,40000.0,100,15.194477727251018,15.189135683782013,0.11872695950204802,15.10016627105398,15.286728766155228,23248.787568675605,23951.52327918158,702.735710505975
bandpassed,Box,25,10.0,50000.0,100,23.288109463469585,23.275283569993462,0.11474064014930627,23.204548551024484,23.37226705899194,16075.766476848892,16151.138589203347,75.37211235445429
bandpassed,Box,25,10.0,60000.0,100,17.64802085456099,17.63496741930667,0.09321341251342462,17.587144786845425,17.703946258356524,5460.902553748098,5554.7371838674535,93.8346301193543
bandpassed,Box,50,-10.0,40000.0,100,18.855385793076447,18.846411510948055,0.1892551628878945,18.73641652731734,18.97635990087293,2904.42055309009,2942.1875909286314,37.76703783854097
bandpassed,Box,50,-10.0,50000.0,100,23.51055157922809,23.49741414617263,0.18288244032343082,23.398845951511557,23.62443561110731,2465.878670514469,2476.8569729986457,10.97830248417659
bandpassed,Box,50,-10.0,60000.0,100,24.337760954426525,24.323106923183307,0.19027156195366876,24.20288501953187,24.469979191860332,1200.1804730389536,1204.5967684018115,4.416295362857905
bandpassed,Box,50,-5.0,40000.0,100,24.0603452300721,24.06040327161245,0.12139668935443167,23.986678703949813,24.127227901520527,9623.11595281014,9660.88299064868,37.76703783854097
bandpassed,Box,50,-5.0,50000.0,100,27.92458123923294,27.927957537500042,0.1314460369958759,27.839925937102834,28.000221588400365,6810.680650824236,6821.658953308412,10.97830248417659
bandpassed,Box,50,-5.0,60000.0,100,27.36969970073043,27.369455047887207,0.15815524989904378,27.277266809480444,27.456955038389005,2411.643474543947,2416.059769906805,4.416295362857905
bandpassed,Box,50,0.0,40000.0,100,22.281665163420065,22.294074733643015,0.22107857305719586,22.149392378437565,22.405215289350817,6394.823111926986,6432.590149765527,37.76703783854097
bandpassed,Box,50,0.0,50000.0,100,27.308879051345865,27.32076147924824,0.15050422944687156,27.236148225735185,27.38884053052139,5911.239945773373,5922.21824825755,10.97830248417659
bandpassed,Box,50,0.0,60000.0,100,28.566484370082147,28.57062998246729,0.11927118383336274,28.49099104585245,28.639874049320046,3175.9123205170645,3180.3286158799224,4.416295362857905
bandpassed,Box,50,5.0,40000.0,100,22.48182853060462,22.48801927454989,0.15603683349048914,22.3748339608012,22.58694946588986,6692.254231513408,6730.02126935195,37.76703783854097
bandpassed,Box,50,5.0,50000.0,100,27.17512841318885,27.183251916869665,0.14262775301064035,27.090030124975186,27.282055475130363,5731.644200053224,5742.6225025374,10.97830248417659
bandpassed,Box,50,5.0,60000.0,100,27.955330507666087,27.956549826163826,0.13911129320982407,27.859688347302736,28.05814498673662,2759.377082342928,2763.7933777057856,4.416295362857905
bandpassed,Box,50,10.0,40000.0,100,20.68835001669049,20.73066130951841,0.1671449129742347,20.578547505120117,20.812453988989333,4428.573656239468,4466.340694078009,37.76703783854097
bandpassed,Box,50,10.0,50000.0,100,25.93502539636963,25.94977008740069,0.14395963135528173,25.849050891166307,26.042861195889557,4307.966997208254,4318.94529969243,10.97830248417659
bandpassed,Box,50,10.0,60000.0,100,27.756688663266495,27.780029456517376,0.19395465859615357,27.603730238189243,27.897988297188213,2637.2666999788216,2641.68299534168,4.416295362857905
bandpassed,Box,75,-10.0,40000.0,100,15.654940736715782,15.579443120771835,0.5160148654015714,15.297712552937371,15.945548353415992,546.5562921853536,561.3154699709256,14.759177785571971
bandpassed,Box,75,-10.0,50000.0,100,25.273379584715858,25.160994133738527,0.4482829496793763,24.971232506533944,25.537812732668534,574.6492835532093,576.3464757323446,1.6971921791353055
bandpassed,Box,75,-10.0,60000.0,100,26.17725388119218,26.098048624732826,0.3806503519734456,25.942248078820167,26.38968394975339,393.1294818049697,394.07381204039416,0.9443302354244298
bandpassed,Box,75,-5.0,40000.0,100,17.233479231876117,17.365625486339994,0.5947589792541276,16.951846639410526,17.66782575670819,787.6227107173772,802.3818885029491,14.759177785571971
bandpassed,Box,75,-5.0,50000.0,100,26.312322824535627,26.415591858384335,0.46605859145846473,26.071273430778746,26.63385686316256,730.0970291883663,731.7942213675016,1.6971921791353055
bandpassed,Box,75,-5.0,60000.0,100,26.50306332843791,26.567525729631868,0.34308609106133814,26.303010591251482,26.712594998877464,423.40107506682796,424.3454053022524,0.9443302354244298
bandpassed,Box,75,0.0,40000.0,100,14.698482144037818,14.738767515476546,0.5764969246667945,14.301208953759946,15.077521101458986,439.23633756397095,453.9955153495429,14.759177785571971
bandpassed,Box,75,0.0,50000.0,100,24.629021825088763,24.630940084494608,0.4541324969810365,24.351677549952598,24.926028756395166,495.4171086278053,497.1143008069405,1.6971921791353055
bandpassed,Box,75,0.0,60000.0,100,25.915858619453957,25.940278689175138,0.3231442868148243,25.742828827843226,26.10858596177098,369.72967994038066,370.6740101758051,0.9443302354244298
bandpassed,Box,75,5.0,40000.0,100,12.210778231329087,12.207546306219534,0.5269428625234515,11.846471772907417,12.575800646917601,247.36503024349634,262.1242080290683,14.759177785571971
bandpassed,Box,75,5.0,50000.0,100,22.353760073097057,22.339038089392044,0.3989472351127819,22.089390617751945,22.579345860161947,293.0461037367384,294.7432959158738,1.6971921791353055
bandpassed,Box,75,5.0,60000.0,100,23.54215451462845,23.544489163703233,0.3004284550999617,23.33617227279059,23.738091488122556,213.97830928218565,214.92263951761004,0.9443302354244298
bandpassed,Box,75,10.0,40000.0,100,15.122200042780598,15.127454796883093,0.3932946789306358,14.830009673190446,15.407223659301254,481.9917470574208,496.75092484299284,14.759177785571971
bandpassed,Box,75,10.0,50000.0,100,25.666348006296772,25.69352842121997,0.33935383272142594,25.381247934273674,25.957740104321626,627.5882188020066,629.2854109811419,1.6971921791353055
bandpassed,Box,75,10.0,60000.0,100,27.54040184487354,27.55251400401734,0.31639859438998336,27.302719359932706,27.785515370154062,537.4028600257675,538.3471902611918,0.9443302354244298
