object,filename,distance_cm,mic,trial,band_center_hz,roi_start,roi_end,roi_length,raw_roi_power,raw_ref_noise_power,snr_db_raw,denoised_roi_power,denoised_ref_noise_power,snr_db_denoised,snr_improvement_db
Box,100cm_-10Grad.pickle,100,Mic2,0,50000,11550,12180,630,139.41349876642184,5.503607616684235,13.861651939990498,139.284223484427,5.499373298582872,13.86093735970864,-0.0007145802818584457
Box,100cm_-10Grad.pickle,100,Mic2,1,50000,11550,12180,630,194.00044654938924,5.503607616684235,15.34656608520148,193.8368602792562,5.499373298582872,15.34623570576112,-0.0003303794403599625
Box,100cm_-10Grad.pickle,100,Mic2,2,50000,11550,12180,630,156.4637057217726,5.503607616684235,14.382147063726261,156.32216702383616,5.499373298582872,14.38153780382532,-0.0006092599009406285
Box,100cm_-10Grad.pickle,100,Mic2,3,50000,11550,12180,630,139.43993132719484,5.503607616684235,13.86250911210544,139.30557464320768,5.499373298582872,13.86163040907687,-0.0008787030285706265
Box,100cm_-10Grad.pickle,100,Mic2,4,50000,11550,12180,630,127.33318386380344,5.503607616684235,13.451052706093854,127.20790861726485,5.499373298582872,13.45007835329416,-0.0009743527996946
Box,100cm_-10Grad.pickle,100,Mic2,5,50000,11550,12180,630,133.23595761061912,5.503607616684235,13.656534392900145,133.1072587403214,5.499373298582872,13.655643114633104,-0.0008912782670407182
Box,100cm_-10Grad.pickle,100,Mic2,6,50000,11550,12180,630,147.7302094840282,5.503607616684235,14.123333708106689,147.57862138201048,5.499373298582872,14.122174493721287,-0.0011592143854013415
Box,100cm_-10Grad.pickle,100,Mic2,7,50000,11550,12180,630,140.30892846928046,5.503607616684235,13.890595713985842,140.16699580857232,5.499373298582872,13.889499922549282,-0.001095791436560134
Box,100cm_-10Grad.pickle,100,Mic2,8,50000,11550,12180,630,95.67389968528865,5.503607616684235,12.14416013369825,95.55884982976089,5.499373298582872,12.14216217626042,-0.0019979574378297116
Box,100cm_-10Grad.pickle,100,Mic2,9,50000,11550,12180,630,118.40604603082292,5.503607616684235,13.120558586944963,118.27506907010698,5.499373298582872,13.119023144843931,-0.0015354421010318475
Box,100cm_-10Grad.pickle,100,Mic2,10,50000,11550,12180,630,153.11448782612752,5.503607616684235,14.284709069372283,152.96642043449373,5.499373298582872,14.283817833901175,-0.0008912354711085868
Box,100cm_-10Grad.pickle,100,Mic2,11,50000,11550,12180,630,140.32741793431273,5.503607616684235,13.89119133750876,140.18551725363764,5.499373298582872,13.890097186252477,-0.0010941512562823164
Box,100cm_-10Grad.pickle,100,Mic2,12,50000,11550,12180,630,123.5678021149547,5.503607616684235,13.314707454345168,123.43029004206468,5.499373298582872,13.313144738880261,-0.0015627154649067165
Box,100cm_-10Grad.pickle,100,Mic2,13,50000,11550,12180,630,126.85089389412208,5.503607616684235,13.433826055090705,126.71928022938161,5.499373298582872,13.432607455545282,-0.001218599545422805
Box,100cm_-10Grad.pickle,100,Mic2,14,50000,11550,12180,630,127.156021098738,5.503607616684235,13.444732663701348,127.03651232201832,5.499373298582872,13.443958081863673,-0.0007745818376747593
Box,100cm_-10Grad.pickle,100,Mic2,15,50000,11550,12180,630,146.34693815789961,5.503607616684235,14.080888233185435,146.21463011089028,5.499373298582872,14.08027986947298,-0.0006083637124554286
Box,100cm_-10Grad.pickle,100,Mic2,16,50000,11550,12180,630,160.0620146693377,5.503607616684235,14.484451700421825,159.92804965321696,5.499373298582872,14.484147483385053,-0.00030421703677241396
Box,100cm_-10Grad.pickle,100,Mic2,17,50000,11550,12180,630,150.2859341925159,5.503607616684235,14.200680882112223,150.16184721574427,5.499373298582872,14.200426871465934,-0.00025401064628916004
Box,100cm_-10Grad.pickle,100,Mic2,18,50000,11550,12180,630,163.38525190735388,5.503607616684235,14.576841777745578,163.22892395615446,5.499373298582872,14.575998654145954,-0.0008431235996244624
Box,100cm_-10Grad.pickle,100,Mic2,19,50000,11550,12180,630,158.24150945225156,5.503607616684235,14.432993573720763,158.09579355401087,5.499373298582872,14.432311449857512,-0.0006821238632515048
Box,100cm_-10Grad.pickle,100,Mic2,20,50000,11550,12180,630,124.2485261351995,5.503607616684235,13.339675707992152,124.11864991992704,5.499373298582872,13.338420705567655,-0.0012550024244966096
Box,100cm_-10Grad.pickle,100,Mic2,21,50000,11550,12180,630,135.81121653493295,5.503607616684235,13.743223127430582,135.67459563867462,5.499373298582872,13.742151274454235,-0.001071852976346932
Box,100cm_-10Grad.pickle,100,Mic2,22,50000,11550,12180,630,124.87253327604249,5.503607616684235,13.362438221382435,124.74355068476386,5.499373298582872,13.361239812387481,-0.0011984089949539367
Box,100cm_-10Grad.pickle,100,Mic2,23,50000,11550,12180,630,121.27782686323964,5.503607616684235,13.229643978772783,121.14960702723259,5.499373298582872,13.228333141342741,-0.0013108374300419001
Box,100cm_-10Grad.pickle,100,Mic2,24,50000,11550,12180,630,119.5172745341894,5.503607616684235,13.163094506933623,119.39072828317148,5.499373298582872,13.161775591756577,-0.0013189151770465202
