object,distance_cm,band_center_hz,n_trials,snr_db_raw_mean,snr_db_raw_median,snr_db_raw_std,snr_db_denoised_mean,snr_db_denoised_median,snr_db_denoised_std,snr_improvement_db_mean,snr_improvement_db_median,snr_improvement_db_std
Box,25,50000,500,14.56391451128413,14.260131565181236,1.5222238691789398,14.564642932156174,14.260919485329444,1.5221604221466256,0.0007284208720435537,0.0007597907920802172,8.027339976414463e-05
Box,50,50000,500,20.037832954424616,20.689712028673917,1.658647883284776,20.04136247647477,20.69299418862184,1.6587627825981293,0.003529522050151776,0.003483614139154767,0.00022792406494302815
Box,75,50000,500,14.677973087123886,15.039271889482915,1.540628379842553,14.678560952114127,15.039987862528788,1.5410660196355896,0.0005878649902412114,0.000622933519294655,0.000551630925917625
Box,100,50000,500,14.104197657253582,14.446240965050382,2.9472182079761087,14.101877376497509,14.442836574809018,2.948916506009682,-0.0023202807560743074,-0.0021449637654891163,0.0022678240485718894
Box,125,50000,500,11.405296630836904,10.83778384736415,3.9737468129547504,11.403211786840151,10.832347402276653,3.9760331195936844,-0.002084843996753376,-0.0017342088991032512,0.003028666961992689
Dose,25,50000,500,4.38637680199134,5.342118772205866,1.844037322869749,4.386811028844778,5.342457878181763,1.8441247417982618,0.0004342268534374938,0.0004175731359210566,0.00013659487273144248
Dose,50,50000,500,8.698870968314395,8.234973961892205,1.870988226083738,8.701633272897688,8.237394892106913,1.8712030840957232,0.002762304583294002,0.0027606341618464647,0.0003024606638768097
Dose,75,50000,500,7.31544821631578,6.572965969271795,1.631442054492071,7.316445200796886,6.573646616471276,1.6321019633332574,0.0009969844811054233,0.0007889880521441128,0.0007021363755827101
Dose,100,50000,500,6.641024475400111,6.5188423612663335,2.7179320807189584,6.639825512041443,6.518721371707544,2.718962272708085,-0.0011989633586682272,-0.0002719258165670979,0.002037883780204603
Dose,125,50000,500,7.597377041165374,7.755757741925304,2.081566959680739,7.599015973610048,7.757372348996382,2.0819470709237096,0.0016389324446742742,0.0017988108456821195,0.0004879259850225307
Glas,25,50000,500,13.03787138811314,13.695061812590826,2.325240595050524,13.038611412584713,13.6957747757973,2.3252615071302825,0.0007400244715716973,0.0007383915127903151,3.102937695956359e-05
Glas,50,50000,500,15.481401246988723,13.850203620117673,2.296404202211923,15.484985010837448,13.853596945853784,2.2965913747654434,0.0035837638487265407,0.0035587675564547894,0.0002184658805497771
Glas,75,50000,500,12.964075757029024,15.772691329031305,4.511787740591591,12.965589646514756,15.774759078558994,4.5128394196530826,0.0015138894857317736,0.0021102606802028134,0.001121603609844037
Glas,100,50000,500,15.153087417198664,15.934019654624848,3.4162364637033606,15.153251018171332,15.934671883543983,3.4176595329235457,0.0001636009726666572,0.0005477956663506589,0.0014890459916825011
Glas,125,50000,500,13.356993070225743,13.558427500655807,1.903542944121066,13.356625403133584,13.558785443585583,1.9046588877616903,-0.00036766709215699933,-4.3038723789301514e-05,0.0016459689041976623
