target_band_hz,cfg_id,order,bw_hz,roi_rms_mean,roi_rms_std,envelope_peak_mean,envelope_peak_std,envelope_median_mean,envelope_median_std,envelope_peak_prominence_ratio_mean,envelope_peak_prominence_ratio_std,envelope_peak_to_second_ratio_mean,envelope_peak_to_second_ratio_std,peak_count_over_35pct_mean,peak_count_over_35pct_std,false_peak_penalty_mean,false_peak_penalty_std,detectability_score_mean,detectability_score_std,peak_index_mean,peak_index_std,peak_time_us_mean,peak_time_us_std,target_energy_mean,target_energy_std,off_energy_mean,off_energy_std,main_off_ratio_mean,main_off_ratio_std,main_off_ratio_db_mean,main_off_ratio_db_std,main_peak_power_mean,main_peak_power_std,secondary_peak_power_mean,secondary_peak_power_std,main_secondary_peak_ratio_mean,main_secondary_peak_ratio_std,main_secondary_peak_ratio_db_mean,main_secondary_peak_ratio_db_std,dominant_freq_hz_mean,dominant_freq_hz_std,dominant_freq_error_hz_mean,dominant_freq_error_hz_std,energy_40k_mean,energy_40k_std,energy_50k_mean,energy_50k_std,energy_60k_mean,energy_60k_std,n_samples
40000.0,iir_o8_bw4000,8,4000.0,34.949934224708834,45.29310383503147,71.03746401447673,91.96932281295294,47.55194490087414,62.186812895111686,1.507999588213411,0.21014441787590982,4735402467322.274,44756025017041.55,16.843733333333333,18.587853968947332,15.843733333333333,18.587853968947332,-1.325315596015613,2.1286784482627614,257.9841333333333,83.2450734110743,128.99206666666666,41.62253670553715,128433379.50862364,313363593.844995,1935.8211881708996,4021.260767478243,190008.21213961375,556776.2151529437,47.3746267941606,6.611004861382962,128433379.50862364,313363593.844995,1911.557483102229,3968.584179378335,207042.75851463896,680369.6736157133,94.89698565750001,13.325633302833442,41269.84126984127,0.0,1269.8412698412722,0.0,128433379.50862364,313363593.844995,1911.557476009828,3968.584182794973,24.263712161071666,60.19603053048218,7500
40000.0,iir_o1_bw7000,1,7000.0,35.96532971482622,45.873657373664436,77.97250281754921,96.12197027787695,46.84559946099469,60.99014658697965,1.738347493349844,0.3586443346789149,1.1271063726988135,0.13856464703509655,15.877466666666667,14.640504254665075,14.877466666666667,14.640504254665077,-1.3380595410376155,1.4802597174034384,226.98586666666668,98.8125055601919,113.49293333333334,49.40625278009595,119364399.32902117,292150475.0126043,4676850.189909598,10887172.032269599,44.9792813827668,73.09525985642362,13.526416386370657,5.424469642967452,119364399.32902117,292150475.0126043,4167700.266234744,9957152.574575964,54.354895816587124,90.30146807688456,28.339750313016154,10.81978677989893,41269.84126984127,0.0,1269.8412698412722,0.0,119364399.32902117,292150475.0126043,4127565.2407179433,9953179.259321537,549284.9491916541,1340533.3767388125,7500
40000.0,iir_o7_bw4000,7,4000.0,34.90101156730271,45.22464692458043,70.83848908031987,91.68088386245972,47.55566718285411,62.19899129296758,1.5042957688404128,0.21005819048416444,5007519707809.379,45926876822479.72,17.07893333333333,18.73488819467514,16.07893333333333,18.734888194675143,-1.3462871314751839,2.1514396046030893,257.80146666666667,83.60065586148384,128.90073333333333,41.80032793074192,128147593.71194808,312575441.4852244,1927.5872797196362,4005.0375671362654,196160.9175201463,581222.7378204919,47.40163152896638,6.638966584385125,128147593.71194808,312575441.4852244,1903.2123018718578,3952.0592554204977,215348.61993036384,716852.8806318907,94.95564807809656,13.392802805400011,41269.84126984127,0.0,1269.8412698412722,0.0,128147593.71194808,312575441.4852244,1903.2122940340532,3952.059259195461,24.37498568558319,60.628082578410684,7500
40000.0,iir_o8_bw4500,8,4500.0,35.28645408482088,45.661712611940814,72.12502914776528,93.31973032312492,47.597154738013735,62.360489391449796,1.5339147128160258,0.24909879975887397,1541091071896.9607,23269227692908.45,16.7592,19.018842697274557,15.7592,19.018842697274554,-1.346449737617368,2.0794125849990617,254.09146666666666,81.41486157006894,127.04573333333333,40.70743078503447,130114511.80801356,318058854.8079394,2125.32402845883,4283.821723531634,157340.90775711616,485255.00714689674,46.837164378149886,6.458651494084288,130114511.80801356,318058854.8079394,2101.2786610085222,4234.51000007359,172468.4384780214,618639.9868250419,93.80936154463352,13.010723114492219,41269.84126984127,0.0,1269.8412698412722,0.0,130114511.80801356,318058854.8079394,2101.2786555157163,4234.510002799601,24.045372943114025,59.08748437467696,7500
40000.0,iir_o7_bw4500,7,4500.0,35.26853580910688,45.64670205827282,71.94252705017566,93.11126121919709,47.67306125000463,62.45725527660802,1.5277493269667304,0.24760242566234913,1384330148312.1648,22602337503130.934,16.960133333333335,19.311564812834064,15.960133333333333,19.311564812834064,-1.374036572400934,2.0954917848019208,253.9424,81.92237658709686,126.9712,40.96118829354843,129944678.80788173,317593655.20973796,2157.384924895497,4342.542693469421,170333.57471269925,618004.687262401,46.74490264693265,6.47360844288594,129944678.80788173,317593655.20973796,2133.2855434775693,4293.809064122702,192701.04747728776,797428.1471454286,93.63029769530952,13.065447457866162,41269.84126984127,0.0,1269.8412698412722,0.0,129944678.80788173,317593655.20973796,2133.285536574732,4293.809067552637,24.099388320765357,59.25373738445518,7500
40000.0,iir_o6_bw4000,6,4000.0,34.83252506996676,45.13479183453732,70.54618157387169,91.28946647093849,47.56927196047261,62.22335503924255,1.4983969661098022,0.20943900305914787,5059608500563.01,45949961280913.94,17.406933333333335,18.974642997233694,16.406933333333335,18.9746429972337,-1.3748137882426041,2.18863358304138,257.6485333333333,84.1476039295345,128.82426666666666,42.07380196476725,127718557.15308532,311455521.45497185,1923.5055618055317,3992.186669542343,197617.1072633644,595259.2441663261,47.384501775069936,6.632516463845388,127718557.15308532,311455521.45497185,1898.9727681616555,3939.0282680824407,220530.23694433423,765179.6406145316,94.92672459414577,13.395577770567886,41269.84126984127,0.0,1269.8412698412722,0.0,127718557.15308532,311455521.45497185,1898.9727645537248,3939.0282698220003,24.532797251807047,61.23720465918054,7500
40000.0,iir_o6_bw4500,6,4500.0,35.236713063636785,45.61229048814908,71.65976022610039,92.77105948136541,47.77411721286058,62.59313832187958,1.519043724026724,0.24570773797716422,3811870680379.7607,39803530963557.27,17.2724,19.69715534361456,16.2724,19.697155343614558,-1.3766560762702489,2.2064357395388328,253.45826666666667,82.50140719580158,126.72913333333334,41.25070359790079,129682586.25649746,316890175.63134253,2227.3271272915663,4468.832206084718,216852.60388158166,1097177.268479889,46.525204614714994,6.4949247644047325,129682586.25649746,316890175.63134253,2203.109776130165,4421.9703190195905,290253.44583634165,1755333.1624684848,93.21070095064998,13.20298545609687,41269.84126984127,0.0,1269.8412698412722,0.0,129682586.25649746,316890175.63134253,2203.106057144746,4421.972113871787,24.22107014682014,59.62743826227253,7500
40000.0,iir_o1_bw6500,1,6500.0,35.42504161734035,45.28776799321866,76.06262482658317,94.11620172506244,46.43965529964014,60.562375657887316,1.7050965249655068,0.34537841366793404,1.1220128359146437,0.13337637712728695,16.344933333333334,14.994076518400247,15.344933333333334,14.99407651840024,-1.3900189808546757,1.5153490106005936,230.06813333333332,97.80050383129684,115.03406666666666,48.90025191564842,117963118.45719925,288749648.140374,3894856.193833864,9098999.342200523,53.9726915575137,88.32544699426016,14.293327660123516,5.421646261428539,117963118.45719925,288749648.140374,3493411.585872243,8374575.2518250495,65.15852327870203,109.58531161274188,29.8235260546132,10.832471504370758,41269.84126984127,0.0,1269.8412698412722,0.0,117963118.45719925,288749648.140374,3465080.7719519837,8372487.771400887,429775.42188188015,1048039.35553897,7500
40000.0,iir_o5_bw4000,5,4000.0,34.72863995111298,45.00437778966918,70.09232947892279,90.71417060588789,47.591498479861116,62.26131953560495,1.4889146186216324,0.20820147644345063,5439221451322.064,47383421310428.53,17.808533333333333,19.34576374796874,16.808533333333333,19.34576374796874,-1.4081594378353568,2.2458508537241837,257.252,84.4868350654306,128.626,42.2434175327153,127052416.60173553,309792579.4445622,1935.2946319176083,3982.8558104543927,195821.9771075777,683831.1574440722,47.2206529625089,6.541905334989425,127052416.60173553,309792579.4445622,1910.508094403968,3930.681467254496,228193.07072305228,938815.4201881997,94.60551727311356,13.243395881764496,41269.84126984127,0.0,1269.8412698412722,0.0,127052416.60173553,309792579.4445622,1910.5080929396986,3930.6814679662957,24.78653897790963,62.16449991831941,7500
40000.0,iir_o5_bw4500,5,4500.0,35.18142890400647,45.54638817866163,71.21959990916028,92.23182404538233,47.90922595587963,62.780978587236135,1.5064282467734675,0.2428750934144036,4484265710845.789,43375107408012.01,17.841866666666668,20.38220101946813,16.841866666666668,20.38220101946813,-1.4320921961028668,2.2878972476601773,252.7392,83.7930014120398,126.3696,41.8965007060199,129246708.65833868,315743000.0593845,2439.714834739679,5036.241947773102,245725.7360488231,1486493.062701968,45.966030878241995,6.428276765357778,129246708.65833868,315743000.0593845,2415.3849900988175,4996.801598907043,355531.301652461,2436638.4730151435,92.0949667432052,13.11502008994472,41269.84126984127,0.0,1269.8412698412722,0.0,129246708.65833868,315743000.0593845,2415.2349350808713,4996.872345214528,24.47989965880752,60.41666483188937,7500
