target_band_hz,cfg_id,order,bw_hz,roi_rms_mean,roi_rms_std,envelope_peak_mean,envelope_peak_std,envelope_median_mean,envelope_median_std,envelope_peak_prominence_ratio_mean,envelope_peak_prominence_ratio_std,envelope_peak_to_second_ratio_mean,envelope_peak_to_second_ratio_std,peak_count_over_35pct_mean,peak_count_over_35pct_std,false_peak_penalty_mean,false_peak_penalty_std,detectability_score_mean,detectability_score_std,peak_index_mean,peak_index_std,peak_time_us_mean,peak_time_us_std,target_energy_mean,target_energy_std,off_energy_mean,off_energy_std,main_off_ratio_mean,main_off_ratio_std,main_off_ratio_db_mean,main_off_ratio_db_std,main_peak_power_mean,main_peak_power_std,secondary_peak_power_mean,secondary_peak_power_std,main_secondary_peak_ratio_mean,main_secondary_peak_ratio_std,main_secondary_peak_ratio_db_mean,main_secondary_peak_ratio_db_std,dominant_freq_hz_mean,dominant_freq_hz_std,dominant_freq_error_hz_mean,dominant_freq_error_hz_std,energy_40k_mean,energy_40k_std,energy_50k_mean,energy_50k_std,energy_60k_mean,energy_60k_std,n_samples
40000.0,iir_o8_bw4000,8,4000.0,53.01629975013102,50.859559484709926,108.01336613543295,103.01833432082451,72.12068769831633,70.03564663556554,1.5196067364775065,0.20020832474997025,1.0000561946723703,0.00013701426878823863,14.522222222222222,13.669055520884497,13.522222222222222,13.669055520884497,-1.2542633863583135,1.3851974558943472,245.87777777777777,70.36113194718295,122.93888888888888,35.18056597359148,211234955.49649924,382079595.99510574,3170.1694698670412,4784.62944421634,213117.71129367588,599434.0429774567,47.676746304407416,5.660184012833017,211234955.49649924,382079595.99510574,3130.404541700605,4721.4576376595405,231776.7535781343,684646.411233612,95.50323534187929,11.457247681728205,41269.84126984127,0.0,1269.8412698412722,0.0,211234955.49649924,382079595.99510574,3130.404541700605,4721.4576376595405,39.76492816643618,73.50809259189677,180
40000.0,iir_o7_bw4000,7,4000.0,52.94177393934004,50.78092789644097,107.70956509095542,102.68483870801109,72.1217179374744,70.04255810645688,1.515952850034682,0.20109275611157026,1.0000606239208742,0.00014519723116247443,14.783333333333333,13.970549630678109,13.783333333333333,13.970549630678107,-1.2809744605831896,1.4156198829695368,245.5611111111111,70.4348158489446,122.78055555555555,35.2174079244723,210763984.77319226,381105438.0780152,3156.819908310664,4765.590793545849,222198.29055073432,629501.6928027343,47.706301874955635,5.717259227955056,210763984.77319226,381105438.0780152,3116.868836495353,4702.0456583891155,243989.15881465608,726718.1982123364,95.56940872022096,11.59092632694271,41269.84126984127,0.0,1269.8412698412722,0.0,210763984.77319226,381105438.0780152,3116.868836495353,4702.0456583891155,39.95107181531079,74.05816353248386,180
40000.0,iir_o8_bw4500,8,4500.0,53.525625008652426,51.25089772270191,109.69336124088966,104.49085727826137,72.1566375261813,70.28374489349571,1.5512960535745255,0.25368395255799736,1.0000587567716093,0.00011047656051888451,15.033333333333333,16.374765979819518,14.033333333333333,16.374765979819518,-1.3015096552325616,1.6606250955574262,243.87777777777777,69.71799985236257,121.93888888888888,34.85899992618128,214010264.85964447,387883636.4961796,3480.619759966801,5070.236689475671,160024.24194240046,500308.92118302407,47.037636614395474,5.2635183483634,214010264.85964447,387883636.4961796,3441.22565106157,5011.674007973575,172151.7021202318,570307.4017353937,94.20262275701451,10.623896878868582,41269.84126984127,0.0,1269.8412698412722,0.0,214010264.85964447,387883636.4961796,3441.22565106157,5011.674007973575,39.39410890523108,72.07601899386034,180
40000.0,iir_o6_bw4000,6,4000.0,52.837924436636186,50.67938539228456,107.26362388144013,102.2428971097669,72.1454863802467,70.07990838287257,1.5098565389326621,0.201694397470177,1.000057030870686,0.00015491751615806927,14.988888888888889,14.416389218113672,13.988888888888889,14.416389218113672,-1.302520489561307,1.4603138837120362,245.24444444444444,70.55356713083447,122.62222222222222,35.27678356541723,210056892.7300932,379729671.9645857,3150.2389768598796,4749.79719556238,226029.8002172552,657563.6043053466,47.69051299893578,5.735261288142818,210056892.7300932,379729671.9645857,3110.0247691633454,4686.068372251856,251920.37548606668,778914.3809437499,95.54534069526848,11.650099607967476,41269.84126984127,0.0,1269.8412698412722,0.0,210056892.7300932,379729671.9645857,3110.0247691633454,4686.068372251856,40.21420769653428,74.83328972584891,180
40000.0,iir_o7_bw4500,7,4500.0,53.49971472588098,51.23589524692012,109.41790474673024,104.26637209127782,72.27500702284149,70.38832697362865,1.54469979577172,0.25247685036091344,1.0000571320229728,0.00011021615395599563,15.333333333333334,17.0080493595462,14.333333333333334,17.0080493595462,-1.3325234070244125,1.7239969371658006,243.54444444444445,69.84966476145324,121.77222222222223,34.92483238072662,213730193.69623533,387309439.9357815,3533.17784958371,5139.203383324532,182891.37701405483,682309.5777599375,46.94991464384572,5.32537805133027,213730193.69623533,387309439.9357815,3493.6937821847782,5081.478255169807,206210.8738869008,828132.406788927,94.03746621695996,10.796434900120948,41269.84126984127,0.0,1269.8412698412722,0.0,213730193.69623533,387309439.9357815,3493.6937821847782,5081.478255169807,39.48406739893173,72.2831458804229,180
40000.0,iir_o2_bw7000,2,7000.0,56.39613893176844,53.0561057464876,117.05631204902576,106.67804226329868,74.30530868491529,70.97493208207455,1.649869575825396,0.3165036827509589,1.0001291563889743,0.00020340612210940142,15.627777777777778,16.91781995133087,14.627777777777778,16.91781995133087,-1.3470309257270965,1.7037358176330404,214.2,103.13631485243586,107.1,51.56815742621793,213211676.5936039,386549891.43510425,3174898.638851817,5843494.526021626,112.41879902619955,170.50402186948304,17.81299367459481,4.549151706892934,213211676.5936039,386549891.43510425,3142074.7951035206,5808822.793391411,126.71250979327542,227.43241179559632,35.84607036064106,9.416272443811867,41269.84126984127,0.0,1269.8412698412722,0.0,213211676.5936039,386549891.43510425,3142074.7951035206,5808822.793391411,32823.84374829676,56679.15235988072,180
40000.0,iir_o5_bw4000,5,4000.0,52.68071654157386,50.53388997170194,106.57159730619213,101.604767028089,72.18569304272106,70.12317836675251,1.499810121416023,0.20214387689167004,1.000062323565283,0.00017167637226424685,15.433333333333334,15.217638986151863,14.433333333333334,15.217638986151862,-1.348594733603341,1.540926107469068,244.75,70.76658263528833,122.375,35.383291317644165,208959344.73068967,377697545.2322904,3169.618843530821,4733.225841516662,233803.3579938594,788673.6323776677,47.53363437824429,5.7081426167323865,208959344.73068967,377697545.2322904,3128.983522910358,4670.983626125371,277523.3090206444,1042953.8787170934,95.24802190511505,11.662854378412668,41269.84126984127,0.0,1269.8412698412722,0.0,208959344.73068967,377697545.2322904,3128.983522910358,4670.983626125371,40.63532062046319,76.00850210205212,180
40000.0,iir_o6_bw4500,6,4500.0,53.45250319105689,51.19868994009598,108.9861421520823,103.89677082931695,72.42778718911555,70.53253689923044,1.5354385522322616,0.25136987555146845,1.000056729478839,0.00011455543630912532,15.594444444444445,17.58926069703911,14.594444444444445,17.589260697039112,-1.360077635619399,1.7825825046395765,243.35,70.59179015996712,121.675,35.29589507998356,213297995.28288448,386443040.57934886,3647.7794616497367,5287.534697705395,267561.5245748581,1302804.356646008,46.749203021720604,5.482493407008509,213297995.28288448,386443040.57934886,3608.093639289847,5232.500436660553,370508.64484794496,1980747.2992116685,93.67713458245653,11.311320905928136,41269.84126984127,0.0,1269.8412698412722,0.0,213297995.28288448,386443040.57934886,3608.093639289847,5232.500436660553,39.685822359889244,72.74931025976768,180
40000.0,iir_o3_bw6500,3,6500.0,55.934130243993295,52.88151853874258,113.28019145365349,105.53781970346519,74.72424834807133,71.29887096401892,1.5730423764086539,0.3035240100117748,1.0001115750197307,0.00026585394308171367,16.355555555555554,18.19804833977492,15.355555555555556,18.19804833977492,-1.4312803392457634,1.8343919324280695,215.22222222222223,100.4878911271929,107.61111111111111,50.24394556359645,215334632.6120026,390480271.0997873,818280.3976792023,1610161.7135642632,478.69802782927815,663.9172288292817,24.090433217386998,4.721864639520859,215334632.6120026,390480271.0997873,817809.1815034673,1609828.3048785164,481.8825670452758,674.3416649478203,48.196833310919395,9.463983167308898,41269.84126984127,0.0,1269.8412698412722,0.0,215334632.6120026,390480271.0997873,817809.1815034673,1609828.3048785164,471.21617573494683,787.4031266431114,180
40000.0,iir_o5_bw4500,5,4500.0,53.36959221549664,51.125698697912114,108.31111806463602,103.30883107783646,72.64924542731269,70.76571380851009,1.5219178435024752,0.2498890532916991,1.0000589809967695,0.00012639777308490863,16.32777777777778,18.84687800874719,15.327777777777778,18.84687800874719,-1.4355357338516537,1.908823351285863,242.71666666666667,72.41610634451811,121.35833333333333,36.208053172259056,212579291.6617458,385033207.2929334,3996.3258311688332,5995.773332410806,347347.6705090738,1836276.7380616234,46.245351997941384,5.701225611813687,212579291.6617458,385033207.2929334,3956.256426963442,5951.272638458988,597590.3294354103,3518416.1941560097,92.71590290986124,11.978181364851531,41269.84126984127,0.0,1269.8412698412722,0.0,212579291.6617458,385033207.2929334,3956.2126107193944,5951.301355282586,40.113220449438785,73.7337682581841,180
