distance_cm,-10,-5,0,5,10
25,0.6666666666666666,0.6666666666666666,0.3433333333333333,0.99,0.9933333333333333
50,1.0,0.9966666666666667,0.6666666666666666,0.66,0.9366666666666666
75,1.0,1.0,0.99,1.0,0.72
100,1.0,0.9966666666666667,0.8233333333333334,0.8566666666666667,1.0
125,1.0,1.0,0.76,0.9966666666666667,1.0
