object,distance_cm,angle_deg,mic,trial,band_center_hz,preprocessing,filename,roi_start,roi_end,roi_length,object_roi_power_mean,reference_roi_noise_power_mean,estimated_signal_power,snr_db_bandpassed,snr_db_detrended_only,snr_gain_db
Box,100,-10.0,Mic2,0,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,107.4054880546544,2.7446360583479934,104.6608519963064,15.812995011165082,12.408269952215733,3.4047250589493494
Box,100,-10.0,Mic2,0,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,101.13788535779743,0.755561583780484,100.38232377401694,21.233873767615464,12.408269952215733,8.825603815399731
Box,100,-10.0,Mic2,0,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,60.58894535885602,0.18872820490192116,60.4002171539541,25.052016909118077,12.408269952215733,12.643746956902344
Box,100,-10.0,Mic2,1,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,149.91323943059666,2.7446360583479934,147.16860337224867,17.29330403753811,13.890856086326792,3.402447951211318
Box,100,-10.0,Mic2,1,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,142.97712985448675,0.755561583780484,142.22156827070626,22.746955949900318,13.890856086326792,8.856099863573526
Box,100,-10.0,Mic2,1,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,84.8778870612279,0.18872820490192116,84.68915885632597,26.519910103091696,13.890856086326792,12.629054016764904
Box,100,-10.0,Mic2,2,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,120.98328398848516,2.7446360583479934,118.23864793013716,16.342746901866057,12.922149732335377,3.42059716953068
Box,100,-10.0,Mic2,2,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,113.86992763867303,0.755561583780484,113.11436605489254,21.752478975780853,12.922149732335377,8.830329243445476
Box,100,-10.0,Mic2,2,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,67.63196064003884,0.18872820490192116,67.44323243513692,25.531015679738882,12.922149732335377,12.608865947403505
Box,100,-10.0,Mic2,3,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,107.1734680749043,2.7446360583479934,104.42883201655631,15.803356559729096,12.388157022760653,3.4151995369684425
Box,100,-10.0,Mic2,3,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,101.56882075128111,0.755561583780484,100.81325916750062,21.252477868849375,12.388157022760653,8.864320846088722
Box,100,-10.0,Mic2,3,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,60.87336063478196,0.18872820490192116,60.68463242988004,25.072419166294647,12.388157022760653,12.684262143533994
Box,100,-10.0,Mic2,4,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,98.82127844390328,2.7446360583479934,96.07664238555529,15.441330525671813,11.999624083013407,3.441706442658406
Box,100,-10.0,Mic2,4,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,93.30492980013548,0.755561583780484,92.54936821635499,20.881035901234863,11.999624083013407,8.881411818221457
Box,100,-10.0,Mic2,4,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,55.06004661349321,0.18872820490192116,54.87131840859129,24.635085861271413,11.999624083013407,12.635461778258007
Box,100,-10.0,Mic2,5,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,104.90412073604594,2.7446360583479934,102.15948467769795,15.707939288575574,12.202209056412785,3.5057302321627883
Box,100,-10.0,Mic2,5,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,95.68518617453333,0.755561583780484,94.92962459075284,20.99131895127398,12.202209056412785,8.789109894861193
Box,100,-10.0,Mic2,5,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,55.215400240454386,0.18872820490192116,55.026672035552465,24.647364387494104,12.202209056412785,12.445155331081319
Box,100,-10.0,Mic2,6,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,115.9431834124287,2.7446360583479934,113.1985473540807,16.153560890109937,12.657632413595614,3.4959284765143224
Box,100,-10.0,Mic2,6,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,105.46810481860497,0.755561583780484,104.71254323482448,21.417288394806594,12.657632413595614,8.75965598121098
Box,100,-10.0,Mic2,6,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,61.30999643826708,0.18872820490192116,61.12126823336516,25.103555479276007,12.657632413595614,12.445923065680393
Box,100,-10.0,Mic2,7,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,110.34418643444907,2.7446360583479934,107.59955037610108,15.933256918622492,12.45103699448498,3.482219924137512
Box,100,-10.0,Mic2,7,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,100.79697693388226,0.755561583780484,100.04141535010177,21.21909959058719,12.45103699448498,8.768062596102212
Box,100,-10.0,Mic2,7,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,58.34478890826566,0.18872820490192116,58.15606070336374,24.887581720847454,12.45103699448498,12.436544726362474
Box,100,-10.0,Mic2,8,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,68.02180207294855,2.7446360583479934,65.27716601460055,13.762765267165767,10.695709318858192,3.0670559483075746
Box,100,-10.0,Mic2,8,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,72.99726809477143,0.755561583780484,72.24170651099094,19.805181281495337,10.695709318858192,9.109471962637144
Box,100,-10.0,Mic2,8,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,49.14628903384978,0.18872820490192116,48.95756082894786,24.139829630807824,10.695709318858192,13.444120311949632
Box,100,-10.0,Mic2,9,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,89.9065355224842,2.7446360583479934,87.16189946413621,15.018419212872375,11.665500705019463,3.3529185078529125
Box,100,-10.0,Mic2,9,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,87.14888780241054,0.755561583780484,86.39332621863005,20.582103267581378,11.665500705019463,8.916602562561915
Box,100,-10.0,Mic2,9,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,53.488246586063354,0.18872820490192116,53.299518381161434,24.508864756136948,11.665500705019463,12.843364051117485
Box,100,-10.0,Mic2,10,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,119.2352849082419,2.7446360583479934,116.4906488498939,16.278062995864364,12.835178828186958,3.4428841676774056
Box,100,-10.0,Mic2,10,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,111.50275667838358,0.755561583780484,110.74719509460309,21.66062867328243,12.835178828186958,8.825449845095473
Box,100,-10.0,Mic2,10,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,65.53547750393595,0.18872820490192116,65.34674929903403,25.393871791860782,12.835178828186958,12.558692963673824
Box,100,-10.0,Mic2,11,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,108.73750518768468,2.7446360583479934,105.99286912933668,15.86791883570201,12.43986833693115,3.42805049877086
Box,100,-10.0,Mic2,11,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,101.90161057688928,0.755561583780484,101.14604899310879,21.266790545697308,12.43986833693115,8.826922208766158
Box,100,-10.0,Mic2,11,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,60.36691634966631,0.18872820490192116,60.17818814476439,25.036022986780747,12.43986833693115,12.596154649849597
Box,100,-10.0,Mic2,12,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,92.1993136503996,2.7446360583479934,89.45467759205161,15.13118290094383,11.903852741538682,3.227330159405149
Box,100,-10.0,Mic2,12,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,92.77874141201275,0.755561583780484,92.02317982823226,20.85627367793398,11.903852741538682,8.9524209363953
Box,100,-10.0,Mic2,12,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,58.37793583340077,0.18872820490192116,58.18920762849885,24.89005634268195,11.903852741538682,12.98620360114327
Box,100,-10.0,Mic2,13,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,98.1059075422512,2.7446360583479934,95.36127148390321,15.408872683341333,11.963151697227854,3.4457209861134785
Box,100,-10.0,Mic2,13,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,93.11564077286494,0.755561583780484,92.36007918908444,20.87214428321342,11.963151697227854,8.908992585985565
Box,100,-10.0,Mic2,13,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,55.32510761824303,0.18872820490192116,55.13637941334111,24.656014352055124,11.963151697227854,12.69286265482727
Box,100,-10.0,Mic2,14,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,100.7502715570691,2.7446360583479934,98.0056354987211,15.527662844222672,11.988960383536929,3.5387024606857427
Box,100,-10.0,Mic2,14,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,91.04898113853235,0.755561583780484,90.29341955475186,20.77386232468372,11.988960383536929,8.78490194114679
Box,100,-10.0,Mic2,14,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,51.731960228360606,0.18872820490192116,51.543232023458685,24.36334838437249,11.988960383536929,12.37438800083556
Box,100,-10.0,Mic2,15,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,115.47013680104708,2.7446360583479934,112.72550074269908,16.135374084857048,12.617883395067883,3.517490689789165
Box,100,-10.0,Mic2,15,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,106.62329403807006,0.755561583780484,105.86773245428957,21.464937428844074,12.617883395067883,8.84705403377619
Box,100,-10.0,Mic2,15,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,61.05533548912337,0.18872820490192116,60.86660728422145,25.085422856642182,12.617883395067883,12.4675394615743
Box,100,-10.0,Mic2,16,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,129.28244809341297,2.7446360583479934,126.53781203506497,16.6373555610843,13.01816560974837,3.619189951335928
Box,100,-10.0,Mic2,16,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,113.83746982916979,0.755561583780484,113.0819082453893,21.75123260267393,13.01816560974837,8.73306699292556
Box,100,-10.0,Mic2,16,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,62.24720158527658,0.18872820490192116,62.05847338037466,25.169642787571046,13.01816560974837,12.151477177822676
Box,100,-10.0,Mic2,17,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,122.24679100600142,2.7446360583479934,119.50215494765342,16.38890972166015,12.761828716146566,3.627081005513583
Box,100,-10.0,Mic2,17,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,106.84482200277102,0.755561583780484,106.08926041899053,21.474015535339525,12.761828716146566,8.71218681919296
Box,100,-10.0,Mic2,17,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,57.69099452039467,0.18872820490192116,57.50226631549275,24.838481526043722,12.761828716146566,12.076652809897157
Box,100,-10.0,Mic2,18,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,127.75152648182524,2.7446360583479934,125.00689042347724,16.584491874363977,13.109082039274059,3.475409835089918
Box,100,-10.0,Mic2,18,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,118.12345050279997,0.755561583780484,117.36788891901948,21.912794247685426,13.109082039274059,8.803712208411367
Box,100,-10.0,Mic2,18,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,68.92855162594635,0.18872820490192116,68.73982342104443,25.61371603076466,13.109082039274059,12.504633991490602
Box,100,-10.0,Mic2,19,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,123.25822575656882,2.7446360583479934,120.51358969822083,16.42551258134298,12.986214560702141,3.4392980206408374
Box,100,-10.0,Mic2,19,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,115.30621863489353,0.755561583780484,114.55065705111303,21.807277163163352,12.986214560702141,8.821062602461211
Box,100,-10.0,Mic2,19,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,67.62131188298105,0.18872820490192116,67.43258367807913,25.5303299086982,12.986214560702141,12.544115347996058
Box,100,-10.0,Mic2,20,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,93.85379498562747,2.7446360583479934,91.10915892727948,15.210772727789635,11.888421421347338,3.3223513064422967
Box,100,-10.0,Mic2,20,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,91.66726812664764,0.755561583780484,90.91170654286715,20.803499418845494,11.888421421347338,8.915077997498155
Box,100,-10.0,Mic2,20,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,56.691573887586806,0.18872820490192116,56.502845682684885,24.76233511862916,11.888421421347338,12.873913697281822
Box,100,-10.0,Mic2,21,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,103.39092339917738,2.7446360583479934,100.64628734082939,15.643129944886285,12.283753868689253,3.359376076197032
Box,100,-10.0,Mic2,21,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,97.74798345753851,0.755561583780484,96.99242187375802,21.08467935392913,12.283753868689253,8.800925485239876
Box,100,-10.0,Mic2,21,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,60.03076951793562,0.18872820490192116,59.8420413130337,25.011695905169926,12.283753868689253,12.727942036480673
Box,100,-10.0,Mic2,22,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,94.1076995030183,2.7446360583479934,91.3630634446703,15.22285888540499,11.91925850876967,3.3036003766353215
Box,100,-10.0,Mic2,22,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,90.92820684752046,0.755561583780484,90.17264526373997,20.768049418415096,11.91925850876967,8.848790909645427
Box,100,-10.0,Mic2,22,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,56.58841304069681,0.18872820490192116,56.399684835794886,24.754398680213626,11.91925850876967,12.835140171443957
Box,100,-10.0,Mic2,23,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,90.51067360330059,2.7446360583479934,87.7660375449526,15.048417266066798,11.779083076059624,3.2693341900071733
Box,100,-10.0,Mic2,23,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,89.52814233166045,0.755561583780484,88.77258074787996,20.700089773493566,11.779083076059624,8.921006697433942
Box,100,-10.0,Mic2,23,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,56.463861437973755,0.18872820490192116,56.275133233071834,24.744797227691386,11.779083076059624,12.965714151631762
Box,100,-10.0,Mic2,24,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,90.47842622430305,2.7446360583479934,87.73379016595506,15.046821269182384,11.741560169219149,3.3052610999632357
Box,100,-10.0,Mic2,24,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,87.77965732115821,0.755561583780484,87.02409573737772,20.61369650963606,11.741560169219149,8.872136340416912
Box,100,-10.0,Mic2,24,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,54.10700065085961,0.18872820490192116,53.91827244595769,24.558991597436485,11.741560169219149,12.817431428217336
Box,100,-10.0,Mic2,25,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,91.29461335043254,2.7446360583479934,88.54997729208455,15.087036894598347,11.724035562658749,3.363001331939598
Box,100,-10.0,Mic2,25,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,87.67308375200535,0.755561583780484,86.91752216822486,20.60837468736618,11.724035562658749,8.88433912470743
Box,100,-10.0,Mic2,25,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,53.37993096027061,0.18872820490192116,53.19120275536869,24.50003001554998,11.724035562658749,12.775994452891233
Box,100,-10.0,Mic2,26,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,86.5356516179972,2.7446360583479934,83.79101555964921,14.847126894716707,11.460472292428786,3.386654602287921
Box,100,-10.0,Mic2,26,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,81.91620241294719,0.755561583780484,81.1606408291667,20.310755991965127,11.460472292428786,8.850283699536341
Box,100,-10.0,Mic2,26,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,49.41820356555355,0.18872820490192116,49.22947536065163,24.163883984039117,11.460472292428786,12.70341169161033
Box,100,-10.0,Mic2,27,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,100.26861195272456,2.7446360583479934,97.52397589437656,15.506266337581152,12.04956091857714,3.456705419004013
Box,100,-10.0,Mic2,27,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,91.95370549142078,0.755561583780484,91.19814390764029,20.817161312390475,12.04956091857714,8.767600393813336
Box,100,-10.0,Mic2,27,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,53.90272696776664,0.18872820490192116,53.71399876286472,24.54250675717709,12.04956091857714,12.492945838599951
Box,100,-10.0,Mic2,28,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,87.24764269827925,2.7446360583479934,84.50300663993126,14.883873968452235,11.618635078125418,3.265238890326817
Box,100,-10.0,Mic2,28,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,85.40559321060381,0.755561583780484,84.65003162682332,20.49357256419524,11.618635078125418,8.874937486069822
Box,100,-10.0,Mic2,28,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,53.90846170966449,0.18872820490192116,53.71973350476257,24.542970404247924,11.618635078125418,12.924335326122506
Box,100,-10.0,Mic2,29,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,80.84981946007373,2.7446360583479934,78.10518340172574,14.541950918208018,11.360836815954382,3.181114102253636
Box,100,-10.0,Mic2,29,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,82.93445644496371,0.755561583780484,82.17889486118322,20.364904283026384,11.360836815954382,9.004067467072002
Box,100,-10.0,Mic2,29,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,54.14220356120731,0.18872820490192116,53.95347535630539,24.56182615431818,11.360836815954382,13.200989338363797
Box,100,-10.0,Mic2,30,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,79.96124495516467,2.7446360583479934,77.21660889681668,14.492259602058288,11.23375344482084,3.2585061572374485
Box,100,-10.0,Mic2,30,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,79.60228989873875,0.755561583780484,78.84672831495826,20.185138090335293,11.23375344482084,8.951384645514453
Box,100,-10.0,Mic2,30,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,50.561995447920076,0.18872820490192116,50.373267243018155,24.263633112851593,11.23375344482084,13.029879668030754
Box,100,-10.0,Mic2,31,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,98.41808486064825,2.7446360583479934,95.67344880230026,15.423066648421006,12.090937933698187,3.3321287147228187
Box,100,-10.0,Mic2,31,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,95.2653479241446,0.755561583780484,94.50978634036412,20.972069130652496,12.090937933698187,8.881131196954309
Box,100,-10.0,Mic2,31,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,58.44300883781438,0.18872820490192116,58.25428063291246,24.894910345271807,12.090937933698187,12.80397241157362
Box,100,-10.0,Mic2,32,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,96.20040209262847,2.7446360583479934,93.45576603428047,15.321213369494037,11.994599886109754,3.3266134833842838
Box,100,-10.0,Mic2,32,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,93.98480619698908,0.755561583780484,93.22924461320859,20.91282297092853,11.994599886109754,8.918223084818777
Box,100,-10.0,Mic2,32,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,57.481905980216546,0.18872820490192116,57.293177775314625,24.822661020210184,11.994599886109754,12.82806113410043
Box,100,-10.0,Mic2,33,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,109.19066155811868,2.7446360583479934,106.44602549977068,15.886446856190888,12.492350843871725,3.3940960123191637
Box,100,-10.0,Mic2,33,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,104.07298745037808,0.755561583780484,103.31742586659759,21.35903708988289,12.492350843871725,8.866686246011165
Box,100,-10.0,Mic2,33,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,62.55076773229433,0.18872820490192116,62.36203952739241,25.190835010792618,12.492350843871725,12.698484166920894
Box,100,-10.0,Mic2,34,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,96.0474707200359,2.7446360583479934,93.30283466168791,15.314100736841542,11.983157278604953,3.3309434582365895
Box,100,-10.0,Mic2,34,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,93.22391151518262,0.755561583780484,92.46834993140213,20.87723239563664,11.983157278604953,8.894075117031687
Box,100,-10.0,Mic2,34,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,57.718051721793096,0.18872820490192116,57.529323516891175,24.840524581085717,11.983157278604953,12.857367302480764
Box,100,-10.0,Mic2,35,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,95.40242979391964,2.7446360583479934,92.65779373557164,15.28397190357593,11.945314298216001,3.338657605359929
Box,100,-10.0,Mic2,35,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,91.9871056101487,0.755561583780484,91.23154402636821,20.818751567527652,11.945314298216001,8.873437269311651
Box,100,-10.0,Mic2,35,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,56.4732298099189,0.18872820490192116,56.28450160501698,24.745520156875624,11.945314298216001,12.800205858659623
Box,100,-10.0,Mic2,36,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,93.53722820899853,2.7446360583479934,90.79259215065053,15.195656507937096,11.864064933661675,3.3315915742754214
Box,100,-10.0,Mic2,36,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,89.83354186541403,0.755561583780484,89.07798028163354,20.71500493168947,11.864064933661675,8.850939998027796
Box,100,-10.0,Mic2,36,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,54.706521228152695,0.18872820490192116,54.517793023250775,24.60701457399329,11.864064933661675,12.742949640331615
Box,100,-10.0,Mic2,37,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,78.37153941380502,2.7446360583479934,75.62690335545703,14.401915532976751,11.030637373758722,3.371278159218029
Box,100,-10.0,Mic2,37,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,76.15634033482358,0.755561583780484,75.40077875104309,19.99105963068372,11.030637373758722,8.960422256924996
Box,100,-10.0,Mic2,37,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,46.87254960814192,0.18872820490192116,46.683821403239996,23.933295898146973,11.030637373758722,12.90265852438825
Box,100,-10.0,Mic2,38,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,80.90945159360112,2.7446360583479934,78.16481553525313,14.545265426170939,11.10204973914809,3.4432156870228496
Box,100,-10.0,Mic2,38,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,76.13148415433379,0.755561583780484,75.3759225705533,19.989627724821464,11.10204973914809,8.887577985673374
Box,100,-10.0,Mic2,38,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,44.674884744573156,0.18872820490192116,44.486156539671235,23.723880766175476,11.10204973914809,12.621831027027387
Box,100,-10.0,Mic2,39,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,73.32941389929695,2.7446360583479934,70.58477784094896,14.102262874548995,10.857988524724583,3.244274349824412
Box,100,-10.0,Mic2,39,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,74.44877006375535,0.755561583780484,73.69320847997486,19.89157597109346,10.857988524724583,9.033587446368877
Box,100,-10.0,Mic2,39,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,47.813819036032776,0.18872820490192116,47.625090831130855,24.019990078660918,10.857988524724583,13.162001553936335
Box,100,-10.0,Mic2,40,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,85.67633861084515,2.7446360583479934,82.93170255249716,14.802358166593878,11.444617476632974,3.357740689960904
Box,100,-10.0,Mic2,40,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,82.28472280360369,0.755561583780484,81.5291612198232,20.330431059959434,11.444617476632974,8.88581358332646
Box,100,-10.0,Mic2,40,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,50.360722245557255,0.18872820490192116,50.171994040655335,24.246245529033832,11.444617476632974,12.801628052400858
