object,distance_cm,angle_deg,mic,trial,filename,band_center_hz,roi_start,roi_end,roi_length,snr_db_preprocessed,snr_db_denoised,snr_improvement_db,reference_roi_noise_power_mean_pre,reference_roi_noise_power_mean_denoised,denoised_roi_power_mean,denoised_estimated_signal_power
Box,100,-10.0,Mic2,0,100cm_-10Grad.pickle,40000,11550,12180,630,15.812995011165082,15.607902931841544,-0.20509207932353846,2.7446360583479934,1.8112541950436722,67.693697585964,65.88244339092033
Box,100,-10.0,Mic2,0,100cm_-10Grad.pickle,50000,11550,12180,630,21.233873767615464,17.036889160209135,-4.196984607406328,0.755561583780484,0.5683693039852666,29.297304580490568,28.7289352765053
Box,100,-10.0,Mic2,0,100cm_-10Grad.pickle,60000,11550,12180,630,25.052016909118077,20.806984473350795,-4.245032435767282,0.18872820490192116,0.18798167150440534,22.824725404592513,22.636743733088107
Box,100,-10.0,Mic2,1,100cm_-10Grad.pickle,40000,11550,12180,630,17.29330403753811,16.965724916754443,-0.3275791207836676,2.7446360583479934,1.8112541950436722,91.87539204244331,90.06413784739964
Box,100,-10.0,Mic2,1,100cm_-10Grad.pickle,50000,11550,12180,630,22.746955949900318,19.139918559789173,-3.607037390111145,0.755561583780484,0.5683693039852666,47.19375858982568,46.62538928584041
Box,100,-10.0,Mic2,1,100cm_-10Grad.pickle,60000,11550,12180,630,26.519910103091696,21.8624834385443,-4.657426664547398,0.18872820490192116,0.18798167150440534,29.052469170086024,28.864487498581617
Box,100,-10.0,Mic2,2,100cm_-10Grad.pickle,40000,11550,12180,630,16.342746901866057,16.10775627168634,-0.23499063017971622,2.7446360583479934,1.8112541950436722,75.73007523200052,73.91882103695684
Box,100,-10.0,Mic2,2,100cm_-10Grad.pickle,50000,11550,12180,630,21.752478975780853,17.849431040624417,-3.9030479351564367,0.755561583780484,0.5683693039852666,35.208037145967154,34.63966784198189
Box,100,-10.0,Mic2,2,100cm_-10Grad.pickle,60000,11550,12180,630,25.531015679738882,21.256461582993143,-4.274554096745739,0.18872820490192116,0.18798167150440534,25.29306488695254,25.105083215448133
Box,100,-10.0,Mic2,3,100cm_-10Grad.pickle,40000,11550,12180,630,15.803356559729096,15.483615265292398,-0.31974129443669774,2.7446360583479934,1.8112541950436722,65.8349780755714,64.02372388052773
Box,100,-10.0,Mic2,3,100cm_-10Grad.pickle,50000,11550,12180,630,21.252477868849375,17.34633262389189,-3.906145244957486,0.755561583780484,0.5683693039852666,31.41898794436824,30.850618640382972
Box,100,-10.0,Mic2,3,100cm_-10Grad.pickle,60000,11550,12180,630,25.072419166294647,20.855180488279196,-4.217238678015452,0.18872820490192116,0.18798167150440534,23.077336721284727,22.88935504978032
Box,100,-10.0,Mic2,4,100cm_-10Grad.pickle,40000,11550,12180,630,15.441330525671813,15.098561582812609,-0.34276894285920356,2.7446360583479934,1.8112541950436722,60.40288183737737,58.5916276423337
Box,100,-10.0,Mic2,4,100cm_-10Grad.pickle,50000,11550,12180,630,20.881035901234863,17.071403832356296,-3.8096320688785674,0.755561583780484,0.5683693039852666,29.526531621602707,28.95816231761744
Box,100,-10.0,Mic2,4,100cm_-10Grad.pickle,60000,11550,12180,630,24.635085861271413,20.185477621778606,-4.449608239492807,0.18872820490192116,0.18798167150440534,19.80636739739744,19.618385725893035
Box,100,-10.0,Mic2,5,100cm_-10Grad.pickle,40000,11550,12180,630,15.707939288575574,15.65156980644192,-0.056369482133654,2.7446360583479934,1.8112541950436722,68.35946520468721,66.54821100964354
Box,100,-10.0,Mic2,5,100cm_-10Grad.pickle,50000,11550,12180,630,20.99131895127398,16.430657956762445,-4.560660994511533,0.755561583780484,0.5683693039852666,25.55435060089964,24.98598129691437
