object,distance_cm,angle_deg,band_center_hz,n_trials,snr_db_preprocessed_mean,snr_db_denoised_mean,snr_improvement_db_mean,snr_improvement_db_median,snr_improvement_db_std
Box,25,-10.0,40000,100,14.669634019722599,14.119868743695031,-0.5497652760275658,-0.5494938716737243,0.008861032029884024
Box,25,-10.0,50000,100,23.083582979303355,11.060387789983478,-12.023195189319875,-12.02819546688896,0.3054554927327967
Box,25,-10.0,60000,100,18.097140946985164,12.452631461777962,-5.6445094852072,-5.623501117185146,0.31006702905992484
Box,25,-5.0,40000,100,15.954861537785707,15.245466200771133,-0.7093953370145722,-0.7102353699031791,0.017678366572104844
Box,25,-5.0,50000,100,24.09914919008023,12.690313587751316,-11.408835602328914,-11.396577931748425,0.35458202965221103
Box,25,-5.0,60000,100,18.690900303123797,11.777621989039481,-6.913278314084318,-6.861579232954584,0.43574267373816533
Box,25,0.0,40000,100,18.834710620394173,18.068185257883606,-0.7665253625105669,-0.7659820616753894,0.01267428850848468
Box,25,0.0,50000,100,26.897521402485754,8.879676928006777,-18.01784447447898,-18.043041043884827,0.6810838688730981
Box,25,0.0,60000,100,22.033779190994572,17.66182237857203,-4.371956812422543,-4.388611246502144,0.17043352348755503
Box,25,5.0,40000,100,16.001995971485098,15.573882537561433,-0.42811343392366524,-0.42805165304473913,0.007856178744094581
Box,25,5.0,50000,100,24.060147121996007,12.526627756684823,-11.533519365311184,-11.547918184282437,0.19469992545757353
Box,25,5.0,60000,100,18.25755090241305,9.193331373526037,-9.064219528887012,-9.068362818378638,0.497682871214002
Box,25,10.0,40000,100,15.194477727251018,14.711246991946627,-0.48323073530439004,-0.48431026575152547,0.012206689857863622
Box,25,10.0,50000,100,23.288109463469585,11.809017302687558,-11.479092160782029,-11.481740826154926,0.2067129164455452
Box,25,10.0,60000,100,17.64802085456099,9.667524847828712,-7.980496006732278,-7.990836294134049,0.39190500188058325
Box,50,-10.0,40000,100,18.855385793076447,17.72889398397433,-1.1264918091021172,-1.1275716152323803,0.045698588103008864
Box,50,-10.0,50000,100,23.51055157922809,18.430122514936222,-5.080429064291868,-5.0745301363565645,0.10606110435779455
Box,50,-10.0,60000,100,24.337760954426525,17.017697933656287,-7.320063020770238,-7.324927762164126,0.1833582334002998
Box,50,-5.0,40000,100,24.0603452300721,23.712780196735824,-0.34756503333627625,-0.34651198990662735,0.015144643246863196
Box,50,-5.0,50000,100,27.92458123923294,19.21466117685251,-8.709920062380435,-8.697112732292107,0.20476608227388277
Box,50,-5.0,60000,100,27.36969970073043,16.55927074982472,-10.81042895090571,-10.782411292149483,0.2688312912836568
Box,50,0.0,40000,100,22.281665163420065,20.421479112476298,-1.8601860509437693,-1.8599996078840455,0.09959198788812659
Box,50,0.0,50000,100,27.308879051345865,23.749599947795414,-3.559279103550452,-3.562467064597435,0.11206537400395626
Box,50,0.0,60000,100,28.566484370082147,22.12179919393567,-6.444685176146481,-6.443049960948818,0.335499352735661
Box,50,5.0,40000,100,22.48182853060462,21.452602764109724,-1.029225766494898,-1.026884935754266,0.04399285775508585
Box,50,5.0,50000,100,27.17512841318885,22.468486518377247,-4.7066418948115984,-4.7037182287443375,0.11072447080856945
Box,50,5.0,60000,100,27.955330507666087,20.69618428605546,-7.259146221610625,-7.251364992988568,0.1346319821067272
Box,50,10.0,40000,100,20.68835001669049,19.54395682640494,-1.1443931902855464,-1.129057307037641,0.07341016082972067
Box,50,10.0,50000,100,25.93502539636963,20.33605402583659,-5.598971370533037,-5.598993200480539,0.10677297198592223
Box,50,10.0,60000,100,27.756688663266495,23.925505906263197,-3.831182757003297,-3.843698583961361,0.17133892912804796
Box,75,-10.0,40000,100,15.654940736715782,14.131029074379413,-1.523911662336371,-1.5255857493560345,0.15595685191814765
Box,75,-10.0,50000,100,25.273379584715858,20.181143045435373,-5.092236539280484,-5.084644799527647,0.13426375852697364
Box,75,-10.0,60000,100,26.17725388119218,22.90479251803048,-3.2724613631616988,-3.285250192079797,0.1627793580227656
Box,75,-5.0,40000,100,17.233479231876117,16.451565760892688,-0.7819134709834284,-0.7540784668723983,0.13178431610180918
Box,75,-5.0,50000,100,26.312322824535624,21.472766238364066,-4.839556586171559,-4.8930028922735005,0.33900335621907063
Box,75,-5.0,60000,100,26.50306332843791,20.875949930753137,-5.627113397684776,-5.637555678170536,0.13841988865566002
Box,75,0.0,40000,100,14.698482144037818,11.293841553446038,-3.4046405905917796,-3.4031188200314624,0.462844486001879
Box,75,0.0,50000,100,24.629021825088763,21.081264671230418,-3.5477571538583437,-3.491741831188703,0.29621254652220974
