preprocessing,distance_cm,band_center_hz,snr_db_mean,snr_db_median,snr_db_std
bandpassed,25,40000.0,11.807589824726994,14.406942250085645,5.0118296349274605
bandpassed,25,50000.0,21.04160589677977,23.217554606176183,4.212424705694111
bandpassed,25,60000.0,16.81857940763884,18.090802481688684,4.079396788901625
bandpassed,50,40000.0,16.49864192994352,15.584406767336832,4.983637413884581
bandpassed,50,50000.0,21.0218555788819,20.793843356974406,5.038761687608957
bandpassed,50,60000.0,21.60128339092591,22.287352702014235,5.18746753002188
bandpassed,75,40000.0,12.812489685294402,12.207546306219534,3.9522196244468097
bandpassed,75,50000.0,21.792916384037923,22.33903808939204,4.077737481152297
bandpassed,75,60000.0,21.431024059814103,23.544489163703236,4.74774545783043
bandpassed,100,40000.0,14.049976010115747,13.974235758453856,4.918999052419948
bandpassed,100,50000.0,19.15253625021987,19.97026530811416,4.4622200726634755
bandpassed,100,60000.0,22.38898151652636,22.74429452987908,4.260082543257027
bandpassed,125,40000.0,11.43579039721909,11.304206058914726,3.82646265409441
bandpassed,125,50000.0,25.02532174464661,24.93198897941737,3.469289452896723
bandpassed,125,60000.0,17.93294015618552,17.9921876275574,3.787881776152131
detrended_only,25,,10.388775327141895,12.851090640607998,4.850233383713923
detrended_only,50,,12.12565304385821,11.247150872702036,5.007963389294684
detrended_only,75,,9.410309176871763,9.653226620020623,4.25707554246886
detrended_only,100,,10.512265512118658,11.665051575795866,4.857827974069756
detrended_only,125,,5.891677426312582,5.934509842252709,3.6053823916259145
