preprocessing,band_center_hz,distance_cm,roi_start,roi_end,roi_length,reference_noise_power_mean,reference_noise_power_median,reference_noise_power_std,reference_noise_rms_from_mean_power
detrended_only,,25,2915,3545,630,1170.0078046605774,1165.9609586316465,24.931359864344483,34.205376838453006
detrended_only,,50,5800,6430,630,121.16585523354999,117.61860807516888,13.108111086517262,11.007536292629245
detrended_only,,75,8650,9280,630,39.860280120737755,39.31551608993305,5.132225679268463,6.313499831372276
detrended_only,,100,11550,12180,630,7.729326246839716,7.657296588399383,0.7310410890347121,2.780166586167044
detrended_only,,125,14400,15030,630,15.704040059719926,15.791245535702739,1.3605223620364562,3.9628323279846103
bandpassed,40000.0,25,2915,3545,630,702.735710505975,699.9504059262966,14.135721353440154,26.509162765088885
bandpassed,40000.0,50,5800,6430,630,37.76703783854097,33.919561861347184,9.738536176558233,6.145489226948573
bandpassed,40000.0,75,8650,9280,630,14.759177785571971,14.412835369007471,4.3837592554498075,3.84176753403586
bandpassed,40000.0,100,11550,12180,630,2.7446360583479934,2.7459406214082707,0.35856028081970637,1.6566943165074217
bandpassed,40000.0,125,14400,15030,630,3.547669201595964,3.5210017219552343,0.4712481604247019,1.8835257369083025
bandpassed,50000.0,25,2915,3545,630,75.37211235445429,75.73780648059086,2.456243137012792,8.681711372445774
bandpassed,50000.0,50,5800,6430,630,10.978302484176593,10.94563531156588,0.42525651082797,3.313352152152951
bandpassed,50000.0,75,8650,9280,630,1.6971921791353057,1.687487850174696,0.2984967945654026,1.3027632859177856
bandpassed,50000.0,100,11550,12180,630,0.755561583780484,0.7452474516449719,0.16564115129130622,0.8692304549315354
bandpassed,50000.0,125,14400,15030,630,0.13368029629388198,0.129995434354475,0.03638690254206196,0.3656231615938492
bandpassed,60000.0,25,2915,3545,630,93.8346301193543,92.34510176240855,7.277305082369839,9.686827660248442
bandpassed,60000.0,50,5800,6430,630,4.416295362857905,4.3858505085231325,0.5987642737598066,2.101498361374071
bandpassed,60000.0,75,8650,9280,630,0.9443302354244298,0.8258319176116045,0.4228135273945355,0.9717665539749913
bandpassed,60000.0,100,11550,12180,630,0.18872820490192116,0.18866337110583967,0.06131543535857876,0.43442859586118543
bandpassed,60000.0,125,14400,15030,630,0.3027776389265652,0.284878609804913,0.08316052568455906,0.5502523411368325
