band_center_hz,snr_db_preprocessed_mean,snr_db_denoised_mean,snr_improvement_db_mean,snr_improvement_db_median,snr_improvement_db_std
40000,13.32089756945995,11.709206132475222,-1.6116914369847282,-0.9482679794359727,4.893443142542546
50000,21.606847170913216,14.545581849085425,-7.061265321827791,-6.307454142599498,3.4193672721048003
60000,20.034561706218145,11.586296575085994,-8.448265131132153,-6.143000224096019,16.85633218524514
