preprocessing,band_center_hz,snr_db_mean,snr_db_median,snr_db_std
bandpassed,40000.0,13.32089756945995,13.83872965908096,4.92121621924727
bandpassed,50000.0,21.606847170913216,22.56391790812265,4.691874744704158
bandpassed,60000.0,20.034561706218145,20.22172447913714,4.9648124848500235
detrended_only,,9.665736097260622,9.368363827590017,4.997430253397185
