category,file,relative_path,distance_cm,angle_deg,trial,n_trials,ok,x_true_m,y_true_m,x_est_m,y_est_m,dist_true_m,dist_est_m,angle_est_deg,xy_err_cm,dist_err_cm,angle_err_deg,theta_est_deg,n_iter,cov_xx,cov_xy,cov_yy,cov_trace
Box,100cm_-10Grad.pickle,Box/100cm_-10Grad.pickle,100.0,-10.0,0,1,True,-0.17364817766693033,0.984807753012208,127.30468732196093,-113.44040842904735,1.0,170.51454389198395,131.70403154862674,17130.04848798355,16951.454389198396,141.70403154862674,42.0,20,0.0069525328454466545,0.007802131679314125,0.00875555148152482,0.015708084326971475
Box,100cm_-10Grad.pickle,Box/100cm_-10Grad.pickle,100.0,-10.0,1,1,True,-0.17364817766693033,0.984807753012208,54.52256179047605,-70.6061168493392,1.0,89.20725015792617,142.32441660998413,9009.403903865532,8820.725015792617,152.32441660998416,45.0,20,0.001928889396943039,0.0014894673201756806,0.0011501504451880687,0.0030790398421311075
Box,100cm_-10Grad.pickle,Box/100cm_-10Grad.pickle,100.0,-10.0,2,1,True,-0.17364817766693033,0.984807753012208,54.226005388082015,-50.0747599407747,1.0,73.81017032546744,132.72078977138014,7460.832233169373,7281.017032546744,142.72078977138017,43.0,20,0.001305073395217075,0.0014132180866172031,0.0015303242410971598,0.0028353976363142347
Box,100cm_-10Grad.pickle,Box/100cm_-10Grad.pickle,100.0,-10.0,3,1,True,-0.17364817766693033,0.984807753012208,-0.03480242569310966,1.0008823470983887,1.0,1.0014872348499027,-1.991471877806371,13.977315699450738,0.14872348499026522,8.008528122193638,45.0,5,2.4620814382257155e-07,8.572004464355393e-09,3.312104274555395e-10,2.465393542500271e-07
Box,100cm_-10Grad.pickle,Box/100cm_-10Grad.pickle,100.0,-10.0,4,1,True,-0.17364817766693033,0.984807753012208,-0.05949405161890866,0.9998038844125824,1.0,1.00157243845092,-3.405411052198769,11.513491412584157,0.15724384509199218,6.594588947801242,45.0,5,2.4623372661248414e-07,1.467102843107975e-08,9.069683394892494e-10,2.471406949519734e-07
Box,100cm_-10Grad.pickle,Box/100cm_-10Grad.pickle,100.0,-10.0,5,1,True,-0.17364817766693033,0.984807753012208,-0.1990758937221332,0.9852203185151811,1.0,1.0051319751537213,-11.423504279702438,2.5431062779173517,0.5131975153721324,-1.4235042797024278,45.0,6,2.4772591699405263e-07,5.012136756612773e-08,1.0174917064522763e-08,2.579008340585754e-07
Box,100cm_-10Grad.pickle,Box/100cm_-10Grad.pickle,100.0,-10.0,6,1,True,-0.17364817766693033,0.984807753012208,0.0004519476927113703,1.001197434753723,1.0,1.0011975367599304,0.025863723472849664,17.48698811054411,0.11975367599303954,10.025863723472838,45.0,5,2.46074227986172e-07,-1.112212423902276e-10,3.277737977349364e-11,2.461070053659455e-07
Box,100cm_-10Grad.pickle,Box/100cm_-10Grad.pickle,100.0,-10.0,7,1,True,-0.17364817766693033,0.984807753012208,0.25527457108713447,0.9657107191801612,1.0,0.9988805232775262,14.806809734486094,42.93476692610837,-0.11194767224738111,24.80680973448608,-45.0,5,2.4445613787115054e-07,-6.470536467723476e-08,1.716195408601353e-08,2.6161809195716406e-07
Box,100cm_-10Grad.pickle,Box/100cm_-10Grad.pickle,100.0,-10.0,8,1,True,-0.17364817766693033,0.984807753012208,-0.1508095772753739,0.9916348609919586,1.0,1.0030370013775753,-8.64738137270477,2.3837178339987655,0.30370013775753435,1.352618627295243,45.0,5,2.468173684787108e-07,3.7584915457329187e-08,5.756850799578223e-09,2.52574219278289e-07
Box,100cm_-10Grad.pickle,Box/100cm_-10Grad.pickle,100.0,-10.0,9,1,True,-0.17364817766693033,0.984807753012208,0.06813588137917298,0.999916269183907,1.0,1.0022350241884288,3.898199321360926,24.22556469305103,0.22350241884288025,13.89819932136092,45.0,5,2.465517910834019e-07,-1.6821892014791996e-08,1.18061413554168e-09,2.477324052189436e-07
