category,file,relative_path,distance_cm,angle_deg,trial,ok,x_true_m,y_true_m,x_est_m,y_est_m,dist_true_m,dist_est_m,angle_est_deg,xy_err_cm,dist_err_cm,angle_err_deg,theta_est_deg,n_iter,cov_xx,cov_xy,cov_yy,cov_trace
Box,100cm_-10Grad.pickle,Box/100cm_-10Grad.pickle,100.0,-10.0,0,True,-0.17364817766693033,0.984807753012208,105.5300985082875,-146.5455748622472,1.0,180.5885024105227,144.24166234645352,18148.965771650255,17958.85024105227,154.2416623464535,45.0,20,0.007917237570847464,0.0057012799552273435,0.004105547323845695,0.012022784894693158
Box,100cm_-10Grad.pickle,Box/100cm_-10Grad.pickle,100.0,-10.0,1,True,-0.17364817766693033,0.984807753012208,78.52651713447452,-67.60567989147397,1.0,103.61921562557482,130.72608286390803,10439.52633765862,10261.921562557482,140.726082863908,41.0,20,0.002562833123404306,0.0029767527045485927,0.0034575239332178377,0.006020357056622143
Box,100cm_-10Grad.pickle,Box/100cm_-10Grad.pickle,100.0,-10.0,2,True,-0.17364817766693033,0.984807753012208,84.51426581831609,-114.98190295161758,1.0,142.7007327703127,143.68328304590926,14359.777424682568,14170.07327703127,153.68328304590926,45.0,20,0.004941444678131511,0.003632019446954711,0.0026695766868457026,0.007611021364977213
Box,100cm_-10Grad.pickle,Box/100cm_-10Grad.pickle,100.0,-10.0,3,True,-0.17364817766693033,0.984807753012208,-0.0348024216354748,1.0008823472397312,1.0,1.0014872348501538,-1.9914716455254706,13.97731610414746,0.14872348501537846,8.008528354474521,45.0,4,2.4620814382466743e-07,8.572003463800899e-09,3.312103577729554e-10,2.465393541824404e-07
Box,100cm_-10Grad.pickle,Box/100cm_-10Grad.pickle,100.0,-10.0,4,True,-0.17364817766693033,0.984807753012208,-0.05949406003678773,0.9998038839109272,1.0,1.001572438450178,-3.405411534604844,11.51349057143313,0.15724384501780708,6.594588465395162,45.0,5,2.462337266050943e-07,1.4671030513832916e-08,9.069685877365137e-10,2.471406951928308e-07
Box,100cm_-10Grad.pickle,Box/100cm_-10Grad.pickle,100.0,-10.0,5,True,-0.17364817766693033,0.984807753012208,-0.1990758937221332,0.9852203185151811,1.0,1.0051319751537213,-11.423504279702438,2.5431062779173517,0.5131975153721324,-1.4235042797024278,45.0,6,2.4772591699405263e-07,5.012136756612773e-08,1.0174917064522763e-08,2.579008340585754e-07
Box,100cm_-10Grad.pickle,Box/100cm_-10Grad.pickle,100.0,-10.0,6,True,-0.17364817766693033,0.984807753012208,0.0004519685747335201,1.0011974347442791,1.0,1.001197536759913,0.025864918493627584,17.486990189465804,0.1197536759913076,10.025864918493625,45.0,3,2.460742279860319e-07,-1.1122638131434255e-10,3.277738441962618e-11,2.4610700537045157e-07
Box,100cm_-10Grad.pickle,Box/100cm_-10Grad.pickle,100.0,-10.0,7,True,-0.17364817766693033,0.984807753012208,0.2552745712364955,0.9657107191406206,1.0,0.9988805232774693,14.80680974334857,42.934766941205574,-0.11194767225306546,24.806809743348566,-45.0,5,2.44456137870646e-07,-6.470536471761421e-08,1.7161954107427912e-08,2.616180919780739e-07
Box,100cm_-10Grad.pickle,Box/100cm_-10Grad.pickle,100.0,-10.0,8,True,-0.17364817766693033,0.984807753012208,-0.1508095792291103,0.9916348606944265,1.0,1.0030370013771754,-8.647381485593394,2.3837176382881466,0.3037001377175441,1.3526185144066005,45.0,5,2.468173684742418e-07,3.7584915954856746e-08,5.756850951227216e-09,2.5257421942546904e-07
Box,100cm_-10Grad.pickle,Box/100cm_-10Grad.pickle,100.0,-10.0,9,True,-0.17364817766693033,0.984807753012208,0.06813588936285991,0.9999162686391002,1.0,1.002235024187645,3.8981997788338494,24.225565486467833,0.2235024187644985,13.898199778833856,45.0,5,2.465517910753753e-07,-1.6821893994496883e-08,1.180614405760047e-09,2.4773240548113536e-07
Box,100cm_-10Grad.pickle,Box/100cm_-10Grad.pickle,100.0,-10.0,10,True,-0.17364817766693033,0.984807753012208,0.9110037456605323,-0.399793910381485,1.0,0.9948683306778032,113.69426382903326,175.88608702937665,-0.5131669322196775,123.69426382903328,24.000000000000004,15,2.2216769025965763e-07,5.039411621435421e-07,1.1432867270667483e-06,1.3654544173264059e-06
Box,100cm_-10Grad.pickle,Box/100cm_-10Grad.pickle,100.0,-10.0,11,True,-0.17364817766693033,0.984807753012208,11.933188009458647,-33.821565328845494,1.0,35.86501439233576,160.56574253466474,3685.185327192327,3486.501439233576,170.56574253466476,45.0,20,0.000314833058908264,0.00011107634335162455,3.918891389038216e-05,0.00035402197279864615
Box,100cm_-10Grad.pickle,Box/100cm_-10Grad.pickle,100.0,-10.0,12,True,-0.17364817766693033,0.984807753012208,105.68459395924687,-146.85010311052804,1.0,180.92591352236857,144.2583150551256,18182.719350621996,17992.591352236857,154.2583150551256,45.0,20,0.00794695382527458,0.00571917232835507,0.0041159082127886605,0.01206286203806324
Box,100cm_-10Grad.pickle,Box/100cm_-10Grad.pickle,100.0,-10.0,13,True,-0.17364817766693033,0.984807753012208,-0.6766604001524986,0.7504178955319366,1.0,1.0104436229048706,-42.04134222254983,55.494134938702565,1.0443622904870553,-32.041342222549815,45.0,11,2.453880216629802e-07,2.2167555637201114e-07,2.0031391787069155e-07,4.457019395336717e-07
Box,100cm_-10Grad.pickle,Box/100cm_-10Grad.pickle,100.0,-10.0,14,True,-0.17364817766693033,0.984807753012208,-0.7498667879022829,0.680962725816419,1.0,1.0129217312064218,-47.757047099094564,65.14212825301081,1.2921731206421816,-37.757047099094564,42.0,15,2.442366496607842e-07,2.6950528360163583e-07,2.9746077230289375e-07,5.41697421963678e-07
Box,100cm_-10Grad.pickle,Box/100cm_-10Grad.pickle,100.0,-10.0,15,True,-0.17364817766693033,0.984807753012208,0.16233820534690618,0.9847468531984165,1.0,0.998038104382512,9.361170487701823,33.59863885330889,-0.1961895617488052,19.361170487701827,-45.0,4,2.443361839871105e-07,-4.0331841528730664e-08,6.6910749586796625e-09,2.5102725894579016e-07
Box,100cm_-10Grad.pickle,Box/100cm_-10Grad.pickle,100.0,-10.0,16,True,-0.17364817766693033,0.984807753012208,-0.6342599261725886,0.7885785862957618,1.0,1.0119989331578763,-38.80999237005124,50.06686216767241,1.1998933157876257,-28.809992370051248,45.0,11,2.4715956863356415e-07,1.9913637896249332e-07,1.604980807432482e-07,4.076576493768124e-07
Box,100cm_-10Grad.pickle,Box/100cm_-10Grad.pickle,100.0,-10.0,17,True,-0.17364817766693033,0.984807753012208,0.38373142736593935,0.9205834851414284,1.0,0.9973583916844735,22.628083050534094,56.10675366568052,-0.26416083155265113,32.62808305053409,-45.0,6,2.430170124013989e-07,-1.0144152764326201e-07,4.2382721778420324e-08,2.853997341798192e-07
Box,100cm_-10Grad.pickle,Box/100cm_-10Grad.pickle,100.0,-10.0,18,True,-0.17364817766693033,0.984807753012208,1.1168316178744464,-0.10996526629333814,1.0,1.122232249792804,95.6233209003105,169.22960930345184,12.223224979280388,105.62332090031049,6.000000000000001,20,1.0219540218759518e-07,1.0218869121467928e-06,1.0221503265600891e-05,1.0323698667788485e-05
Box,100cm_-10Grad.pickle,Box/100cm_-10Grad.pickle,100.0,-10.0,19,True,-0.17364817766693033,0.984807753012208,0.40867726840794,0.9103445467586285,1.0,0.997869883064194,24.176548103672136,58.70670270351247,-0.21301169358060035,34.17654810367213,-45.0,6,2.4308368131671297e-07,-1.0928344736263755e-07,4.917004279238275e-08,2.922537241090957e-07
Box,100cm_-10Grad.pickle,Box/100cm_-10Grad.pickle,100.0,-10.0,20,True,-0.17364817766693033,0.984807753012208,0.23011879160724993,0.9712334877981575,1.0,0.9981228111166255,13.329547760352938,40.399508184253705,-0.18771888833745143,23.329547760352938,-45.0,4,2.4417903164540447e-07,-5.7931015669108025e-08,1.3778593458019672e-08,2.5795762510342413e-07
